index,0,1
0,Gladys as a Category 3 hurricane,Gladys as a Category 3 hurricane
1,Meteorological history,Meteorological history
2,Formed,"September 22, 1975"
3,Extratropical,October 3
4,Dissipated,"October 4, 1975"
5,Category 4 major hurricane,Category 4 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,140 mph (220 km/h)
8,Lowest pressure,939 mbar (hPa); 27.73 inHg
9,Overall effects,Overall effects
10,Fatalities,
11,Areas affected,"Eastern United States, Newfoundland and Labrador"
12,IBTrACS,IBTrACS
13,Part of the 1975 Atlantic hurricane season,Part of the 1975 Atlantic hurricane season
