,sentences
0,Hurricane Gustav() was the second most destructive tropical cyclone of the 2008 Atlantic hurricane season.
1,"The seventh tropical cyclone, third hurricane, and second major hurricane of the season, Gustav caused serious damage and casualties in Haiti, the Dominican Republic, Jamaica, the Cayman Islands, Cuba and the United States."
2,Gustav caused at least $8.31 billion(2008 USD) in damages.
3,"It formed on the morning of August 25, 2008, about 260 miles(420 km) southeast of Port-au-Prince, Haiti, and rapidly strengthened into a tropical storm that afternoon and into a hurricane early on August 26."
4,Later that day it made landfall near the Haitian town of Jacmel.
5,It inundated Jamaica and ravaged Western Cuba and then steadily moved across the Gulf of Mexico.
6,"Once into the Gulf, Gustav gradually weakened because of increased wind shear and dry air."
7,"It weakened to a Category 2 hurricane late on August 31, and remained at that intensity until landfall on the morning of September 1 near Cocodrie, Louisiana."
8,"Weakening continued, and Gustav weakened to a tropical storm that evening and to a tropical depression the next day as it meandered around the south-central US."
9,The weak system became extratropical on September 4 and was absorbed by another low on September 5.
10,"In total, an estimated 153 deaths had been attributed to Gustav in the U.S. and Caribbean."
11,Damage in the U.S. totaled to $6 billion(2008 USD) with additional damage of $2.1 billion in Cuba and $210 million in damage in Jamaica.
12,"-Meteorological history-
Gustav formed out of a tropical wave that had previously produced t-rain and squalls in the Lesser Antilles."
13,It developed well-defined curved bands and briefly exhibited an upper-level eye feature.
14,The NHC designated it Tropical Depression Seven and dispatched a hurricane hunter aircraft to investigate the system.
15,"At the time, the system had a well-defined outflow in all but the southeast and southwest quadrants,
and data from the hurricane-hunter aircraft confirmed that the tropical depression had strengthened into a tropical storm, which was soon designated Tropical Storm Gustav."
16,"A brief period of disorganization
proved to be temporary as a well-defined eye wall formed that same night."
17,"In the early hours of August 26, as the storm approached Haiti's southwestern peninsula,
another hurricane hunter aircraft confirmed what forecasters already suspected—that Gustav had strengthened into a hurricane with winds topping 90 mph(140 km/h)."
18,"Before reaching Haiti, its satellite presentation continued to intensify, a central dense overcast became more prominent,
and the minimum central pressure fell."
19,"Hurricane Gustav regained a pronounced eye as it made landfall on Haiti, with 75 mph(121 km/h) winds,
near the town of Jacmel."
20,As the hurricane moved over Haiti's mountainous terrain its circulation was disrupted and it lost a little strength.
21,"Although downgraded to a tropical storm, it still had a pronounced eye in its mid- and upper-level structures."
22,"Its outflow improved throughout the night of August 26,
and the system was not very disrupted when it moved back over water into the Gulf of Gonâve."
23,"However, the storm's movement slowed, and continued interaction with nearby Haiti, combined with the incursion of mid-level dry air from the northeast, resulted in further weakening during the day on August 27."
24,The storm began a west-southwesterly movement that brought it closer to Jamaica.
25,"On the morning of August 28 it was found that, overnight, Gustav had either reformed farther to the south or had moved farther to the south than previously thought."
26,The storm was also found to have restrengthened nearly to hurricane status.
27,It then was upgraded to a hurricane again during the late afternoon of August 29.
28,"At 11:00 a.m EDT(1500 UTC) on August 30, as Gustav neared the west end of Cuba, it was upgraded to a Category 3 hurricane on the Saffir-Simpson Hurricane Scale,
with sustained winds near 125 mph(201 km/h)."
29,"Gustav continued its rapid deepening trend, and three hours later, it had already reached Category 4 strength."
30,"Gustav's maximum sustained winds had reached 150 mph(240 km/h)
with a minimum pressure of 941 millibars."
31,"On August 30, Gustav made landfall twice on Cuba: first, on Isla de la Juventud and then on the mainland near the community of Los Palacios in Pinar del Río Province."
32,"At 2235 UTC(6:35 PM Cuba Daylight Time), a weather station at Paso Real de San Diego recorded a wind gust of 184 knots(212 mph; 341 km/h), which at the time was the strongest wind gust from a tropical cyclone on record."
33,"By the early hours of August 31, Gustav entered the Gulf of Mexico with maximum sustained winds of 135 mph(217 km/h) and minimum central pressure of 958 millibars."
34,"During August 31, the storm moved in a northwest direction slightly losing its strength(despite passing over a shortened Loop Current) with sustained winds at 115 mph."
35,"On the evening of August 31, Gustav weakened to a Category 2 hurricane and remained at such intensity until landfall in the U.S. Gustav made landfall along the Louisiana coast with 105 mph(169 km/h) winds near Cocodrie, at about 9:30 a.m CDT(1430 UTC)."
36,"At U.S. landfall, hurricane-force winds extended outward 70 miles(110 km) from the center, and tropical-storm-force winds extended 200 miles(320 km)."
37,"That night, by 10 pm CDT, Gustav had been downgraded to a Tropical Storm with winds of 60 mph(97 km/h) about 20 miles(32 km) southwest of Alexandria, Louisiana and by 4 am CDT on September 2 Gustav had diminished to a Tropical Depression with a threat of severe flooding in the lower Mississippi Valley and eastern Texas."
38,"-Preparations-
--Hispaniola--
Immediately upon the storm's designation as a tropical depression it was expected to strengthen into a tropical storm and strike the island of Hispaniola, shared by the Dominican Republic on the east and Haiti on the west."
39,Tropical storm warnings were issued from the coast of the Dominican Republic south of Santo Domingo to the Haitian coast south of Port-au-Prince.
40,"A tropical storm watch was issued for the Haitian coast, north of Port-au-Prince to the northern border with the Dominican Republic."
41,"Hours later, when Gustav was upgraded to a tropical storm, the tropical storm warning was upgraded to a hurricane warning and the tropical storm watch was upgraded to a hurricane warning."
42,The Haitian government ordered emergency shelters to prepare.
43,The country is particularly vulnerable to floods and landslides as rainfall runs off its largely deforested mountains.
44,"The government issued a red alert and advised the population to take precautions, but few Haitians took heed."
45,Fair weather led many to doubt whether a hurricane was even approaching.
46,"American Airlines canceled all of its flights into and out of Port-au-Prince on August 26, stranding travelers hoping to escape the storm."
47,"--Jamaica and Cayman Islands--
On August 25, Carnival Cruise Lines diverted one of its ships from Montego Bay, Jamaica, to Mexico in order to avoid the storm."
48,Jamaica's Office of Disaster Preparedness and Emergency Management(ODPEM) readied response systems in anticipation of Hurricane Gustav affecting the island.
49,"In the Cayman Islands, a hurricane watch was issued at 6 pm August 25 and upgraded that to a warning on 6 pm August 27."
50,Banks and non-essential government services were closed Friday to allow residents to prepare.
51,"Extra flights were organized to get tourists off the island and, per usual practice, further visits were banned until the All Clear was given."
52,Stores and gas stations were busy and each district office offered free plywood to protect windows and residents hurried about to secure their business interests and property.
53,"--Cuba--
60,000 were evacuated overnight on August 29 from Cuba's western coasts."
54,Gustav was projected to strike Cuba on the afternoon of August 30.
55,"Additional evacuations were ordered on the afternoon of August 30 as Gustav strengthened to a strong Category 4 hurricane, particularly in the low-lying Pinar del Río Province where 190,000 were evacuated."
56,"On Monday, September 1, Cuban officials reported that Gustav's 155 mph(249 km/h) winds damaged or destroyed 90,000 homes in Pinar del Río, and knocked down 80 high-tension towers."
57,"The combined damage estimate from Gustav and the subsequent hurricanes Ike and Paloma is about $9.4 billion(USD), with about 2.1 billion of that from Gustav."
58,"--United States--
On August 31, the NHC predicted with 45% probability that Gustav would remain at Category 3 or above on September 1."
59,"This influenced preparations, although in fact Gustav had dropped just below the Category 3 threshold to Category 2 by landfall, and Category 1 shortly afterwards."
60,"Direct Relief, an emergency response organization, committed $250,000 in special hurricane response funds to assist nonprofit clinics, community health centers, and evacuation and shelter areas."
61,"---Louisiana---
On the morning of August 26, with Gustav still over Haiti, Louisiana emergency preparedness officials met several times to discuss predictions that Gustav would reach the state as a major hurricane in three to five days."
62,Several areas of Louisiana planned for evacuations.
63,"Several parishes in the New Orleans area announced plans for voluntary evacuations beginning Saturday, August 30."
64,"New Orleans Mayor Ray Nagin said that it was possible thousands of people who need city help could start leaving on Saturday, as the first wave of a full-scale evacuation."
65,"Later, he ordered the mandatory evacuation of the whole of New Orleans commencing on the morning of August 31, calling Gustav ""the storm of the century... the mother of all storms."""
66,"On August 31, Nagin also declared a dusk-to-dawn curfew and the cessation of city assistance in evacuations by the afternoon."
67,"By that afternoon, 1.9 million people had evacuated southern Louisiana, with 200,000 being residents of New Orleans alone, making it the largest evacuation in the history of Louisiana."
68,"Officials had finalized evacuation plans, which proposed assisted evacuations as early as August 29: Contraflow lane reversal on all major highways, and 700 buses to help move evacuees."
69,"For those evacuees in need of shelter, the state government secured tens of thousands of shelter beds."
70,"Wary of repeating the mistakes of Hurricane Katrina, authorities chose not to use the Louisiana Superdome and New Orleans Convention Center as emergency shelters."
71,"The following day, Louisiana governor Bobby Jindal declared a state of emergency, activating between 3,000 and 8,000 members of the Louisiana National Guard."
72,"Mayor of New Orleans Ray Nagin shortened his appearance at the Democratic National Convention in Denver, Colorado, to assist in preparations."
73,"The residents of low-lying Grand Isle, Louisiana, were under a voluntary evacuation order beginning August 29."
74,"Traditionally, the community is one of the first to vacate when tropical storms threaten."
75,"Residents of lower Cameron Parish, Louisiana, were also given a voluntary evacuation order on August 29."
76,Mandatory evacuation orders have since been given.
77,"In Plaquemines Parish, Parish President Billy Nungesser flew in a helicopter counting the number of vessels and barges that potentially would be a safety issue to people, property, and the levee system during a hurricane."
78,Parish officials called the owners of about 150 vessels and told them to move the vessels or the parish would sink them.
79,"70 of the 150 were sunk, some by the parish, some by the owners. ["
80,"1] Also, parish officials started a last-ditch effort to save Belle Chasse by constructing a sand levee across Louisiana Highway 23."
81,"Approximately eight hours later, the parish government announced the completion of the levee."
82,The Mississippi River was shut to all ship traffic between the Gulf of Mexico and New Orleans on August 30.
83,"Pilots at Lake Charles in west Louisiana, and Sabine Pass in east Texas, also were making plans as of August 30 to halt traffic."
84,"Tulane University, Loyola University New Orleans, the University of New Orleans, and Xavier University of Louisiana all closed their campuses for the entire week but resumed classes on the following Monday of September 8, 2008."
85,"The University of Louisiana at Lafayette also canceled classes for September 2 and 3, as did Louisiana State University and Baton Rouge Community College."
86,"On September 1, Plaquemines Parish officials asked the residents of Braithwaite, Louisiana to leave, as levee failure was considered imminent."
87,"FEMA had estimated there were only about 10,000 people left in New Orleans on September 1."
88,"----Local events----
One major sporting event was directly affected by the disaster preparations."
89,"On August 30, Louisiana State University(LSU) opened its 2008 football season against Appalachian State."
90,"The originally scheduled kickoff time of 4 pm CDT would have conflicted with the start of contraflow lane reversal, and Interstate 10 is a key evacuation route through Baton Rouge."
