,0,1
0,"Hurricane Hilary on August 20, 1993","Hurricane Hilary on August 20, 1993"
1,Meteorological history,Meteorological history
2,Formed,"August 17, 1993"
3,Dissipated,"August 27, 1993"
4,Category 3 major hurricane,Category 3 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,120 mph (195 km/h)
7,Lowest pressure,957 mbar (hPa); 28.26 inHg
8,Overall effects,Overall effects
9,Fatalities,
10,Damage,Minimal
11,Areas affected,Mexico California Iowa
12,IBTrACS,IBTrACS
13,Part of the 1993 Pacific hurricane season,Part of the 1993 Pacific hurricane season
