index,0,1
0,Surface weather map of Hurricane How on October 5,Surface weather map of Hurricane How on October 5
1,Meteorological history,Meteorological history
2,Formed,"September 28, 1951"
3,Dissipated,"October 8, 1951"
4,Category 2 hurricane,Category 2 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,100 mph (155 km/h)
7,Lowest pressure,972 mbar (hPa); 28.70 inHg
8,Overall effects,Overall effects
9,Fatalities,17 total
10,Damage,$2 million (1951 USD)
11,Areas affected,"Florida, Outer Banks, Virginia, New England"
12,IBTrACS,IBTrACS
13,Part of the 1951 Atlantic hurricane season,Part of the 1951 Atlantic hurricane season
