,0,1
0,Hurricane Humberto near peak intensity west of Bermuda on September 18,Hurricane Humberto near peak intensity west of Bermuda on September 18
1,Meteorological history,Meteorological history
2,Formed,"September 13, 2019"
3,Extratropical,"September 19, 2019"
4,Dissipated,"September 20, 2019"
5,Category 3 major hurricane,Category 3 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,125 mph (205 km/h)
8,Lowest pressure,950 mbar (hPa); 28.05 inHg
9,Overall effects,Overall effects
10,Fatalities,2 total
11,Damage,>$25 million (2019 USD)
12,Areas affected,"Bahamas, East Coast of the United States, Puerto Rico, Bermuda, Atlantic Canada"
13,IBTrACS,IBTrACS
14,Part of the 2019 Atlantic hurricane season,Part of the 2019 Atlantic hurricane season
