index,0,1
0,"Hurricane Ignacio at peak intensity on August 24, 2003","Hurricane Ignacio at peak intensity on August 24, 2003"
1,Meteorological history,Meteorological history
2,Formed,"August 22, 2003"
3,Dissipated,"August 27, 2003"
4,Category 2 hurricane,Category 2 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,105 mph (165 km/h)
7,Lowest pressure,970 mbar (hPa); 28.64 inHg
8,Overall effects,Overall effects
9,Fatalities,4
10,Damage,$21.2 million (2003 USD)
11,Areas affected,"Baja California Peninsula, Sonora, California"
12,IBTrACS,IBTrACS
13,Part of the 2003 Pacific hurricane season,Part of the 2003 Pacific hurricane season
