index,sentences
0,"Hurricane Iris was a small, but powerful tropical cyclone that caused widespread destruction in Belize."
1,"Iris was the second-strongest storm of the 2001 Atlantic hurricane season, behind Hurricane Michelle."
2,"It was the ninth named storm, fifth hurricane, and third major hurricane of the year, forming from a tropical wave on October 4 just southeast of Barbados."
3,"It moved westward through the Caribbean, intensifying into a tropical storm on October 5 south of Puerto Rico, and into a hurricane on the following day."
4,"While passing south of the Dominican Republic, Iris dropped heavy rainfall that caused landslides, killing eight people."
5,"Later, the hurricane passed south of Jamaica, where it destroyed two houses."
6,"On reaching the western Caribbean Sea, Iris rapidly intensified into a Category 4 on the Saffir–Simpson scale."
7,"A small hurricane with an eye of only 7 mi(11 km) in diameter, Iris reached peak winds of 145 mph(233 km/h) before making landfall in southern Belize near Monkey River Town on October 9."
8,"The hurricane quickly dissipated over Central America, although its remnants contributed to the formation of Tropical Storm Manuel in the eastern Pacific Ocean."
9,"The hurricane caused severe damage—destroying homes, flooding streets, and leveling trees—in coastal towns south of Belize City."
10,Destruction was heaviest in Belize and totaled $250 million(2001 USD).
11,"Because Iris was compact, the damage was largely confined to 72% of the houses in the Toledo district and 50% of the houses in the Stann Creek district."
12,"The hurricane damaged or destroyed 3,718 homes nationwide, and wrecked more than 95% of the homes in 35 villages in the poorest parts of the country."
13,"Iris left about 15,000 people homeless, many receiving assistance from the government and the local Red Cross chapter."
14,"High winds also damaged large swaths of forest and crops, mostly affecting the banana industry."
15,"Iris killed 24 people in Belize, including 20 who died when a scuba diving boat capsized near Big Creek."
16,"The storm also killed eight people and damaged about 2,500 homes in neighboring Guatemala, and later dropped heavy rainfall in southern Mexico, where two people died."
17,"-Meteorological history-
Toward the end of September 2001, a poorly-defined tropical wave moved westward across the tropical Atlantic Ocean, through an area of hostile wind shear, which was caused by a large upper-level low within a trough, to the northeast of the Lesser Antilles."
18,"A few days later, the upper-level low detached from the trough and moved southwestward over the Caribbean Sea, allowing for an upper-level ridge, or high-pressure area, to form over the tropical wave."
19,"The change provided a favorable environment for tropical development, and an area of convection soon blossomed along the wave's axis."
20,"As the tropical wave approached the Lesser Antilles, a mid-level wind circulation formed within the deepest part of the convection, and a low-level circulation became gradually more pronounced on satellite imagery."
