index,0,1
0,Iris near peak intensity shortly before landfall in Belize on October 8,Iris near peak intensity shortly before landfall in Belize on October 8
1,Meteorological history,Meteorological history
2,Formed,"October 4, 2001"
3,Dissipated,"October 9, 2001"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,145 mph (230 km/h)
7,Lowest pressure,948 mbar (hPa); 27.99 inHg
8,Overall effects,Overall effects
9,Fatalities,36 direct
10,Damage,$250 million (2001 USD)
11,Areas affected,"Windward Islands, Hispaniola, Jamaica, Honduras, Belize, Guatemala, Eastern Mexico"
12,IBTrACS,IBTrACS
13,Part of the 2001 Atlantic hurricane season,Part of the 2001 Atlantic hurricane season
