index,0,1
0,Irma at peak intensity while making landfall in Saint Martin early on September 6,Irma at peak intensity while making landfall in Saint Martin early on September 6
1,Meteorological history,Meteorological history
2,Formed,"August 30, 2017"
3,Remnant low,"September 12, 2017"
4,Dissipated,"September 13, 2017"
5,Category 5 major hurricane,Category 5 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,180 mph (285 km/h)
8,Lowest pressure,914 mbar (hPa); 26.99 inHg
9,Overall effects,Overall effects
10,Fatalities,134 total
11,Damage,$77.2 billion (2017 USD) (Sixth-costliest tropical cyclone on record; costliest in Cuban history)
12,Areas affected,"Cape Verde, Leeward Islands (especially Barbuda, Saint Barthélemy, Anguilla, Saint Martin and the Virgin Islands), Greater Antilles (Cuba and Puerto Rico), Turks and Caicos Islands, Jamaica, The Bahamas, Eastern United States (especially Florida)"
13,IBTrACS,IBTrACS
14,Part of the 2017 Atlantic hurricane season,Part of the 2017 Atlantic hurricane season
15,History Meteorological history Effects Caribbean Islands British Virgin Islands United States Florida Other wikis Commons: Irma images,History Meteorological history Effects Caribbean Islands British Virgin Islands United States Florida Other wikis Commons: Irma images
