index,Strongest landfalling Atlantic hurricanes†,Strongest landfalling Atlantic hurricanes†,Strongest landfalling Atlantic hurricanes†,Strongest landfalling Atlantic hurricanes†,Strongest landfalling Atlantic hurricanes†,Strongest landfalling Atlantic hurricanes†
,Rank,Hurricane,Season,Wind speed,Wind speed,Unnamed: 5_level_1
,Rank,Hurricane,Season,mph,km/h,Unnamed: 5_level_2
0,1,"""Labor Day""",1935,185,295,
1,1,Dorian,2019,185,295,
2,3,Irma,2017,180,285,
3,4,Janet,1955,175,280,
4,4,Camille,1969,175,280,
5,4,Anita,1977,175,280,
6,4,David,1979,175,280,
7,4,Dean,2007,175,280,
8,9,"""Cuba""",1924,165,270,
9,9,Andrew,1992,165,270,
10,9,Maria,2017,165,270,
11,"Source: HURDAT,[9] AOML/HRD[10]","Source: HURDAT,[9] AOML/HRD[10]","Source: HURDAT,[9] AOML/HRD[10]","Source: HURDAT,[9] AOML/HRD[10]","Source: HURDAT,[9] AOML/HRD[10]","Source: HURDAT,[9] AOML/HRD[10]"
12,†Strength refers to maximum sustained wind speed upon striking land.,†Strength refers to maximum sustained wind speed upon striking land.,†Strength refers to maximum sustained wind speed upon striking land.,†Strength refers to maximum sustained wind speed upon striking land.,†Strength refers to maximum sustained wind speed upon striking land.,†Strength refers to maximum sustained wind speed upon striking land.
