index,Territory,Fatalities,Damage (2017 USD),Ref
0,Anguilla (UK),1,$290 million,[6][81]
1,Bahamas,0,$135 million,[82]
2,Barbados,1,—,[6]
3,Barbuda (AG),3,$150 million,[6]
4,British Virgin Islands (UK),4,$3.6 billion,[6][83]
5,Cuba,10,$13.2 billion,[84]
6,Haiti,1,—,[6]
7,Puerto Rico (U.S.),3[nb 2],$1 billion,[6][85]
8,Saint Kitts and Nevis,0,$45 million,[81]
9,Saint Martin and Saint Barthélemy (FR),11,$4.17 billion,[86]
10,Sint Maarten (NL),4,$2.98 billion,[87]
11,Turks and Caicos Islands (UK),0,$500 million,[6]
12,United States,92[nb 2],$50 billion,[6][88]
13,U.S. Virgin Islands,4[nb 2],$1.1 billion,[89]
14,Totals:,134,$77.2 billion,
