index,0,1
0,Hurricane Julia at peak intensity west of the Cape Verde Islands on September 15,Hurricane Julia at peak intensity west of the Cape Verde Islands on September 15
1,Meteorological history,Meteorological history
2,Formed,"September 12, 2010"
3,Extratropical,"September 20, 2010"
4,Dissipated,"September 28, 2010"
5,Category 4 major hurricane,Category 4 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,140 mph (220 km/h)
8,Lowest pressure,948 mbar (hPa); 27.99 inHg
9,Overall effects,Overall effects
10,Fatalities,None reported
11,Damage,Minimal
12,Areas affected,Cape Verde Islands
13,IBTrACS,IBTrACS
14,Part of the 2010 Atlantic hurricane season,Part of the 2010 Atlantic hurricane season
