,sentences
0,Hurricane Karen was a hurricane of non-tropical origin that formed in October of the 2001 Atlantic hurricane season.
1,"It developed out of the interaction between a cold front and an upper level trough on October 10 located to the south of Bermuda, and quickly strengthened as an extratropical storm."
2,"The storm passed near Bermuda on October 12, producing hurricane-force winds on the island."
3,"It then organized, becoming a subtropical cyclone on October 12 and a tropical cyclone on October 13."
4,"Karen strengthened to reach 80 mph(130 km/h) winds as a Category 1 hurricane on the Saffir-Simpson Hurricane Scale, and after weakening over cooler waters, it made landfall on Nova Scotia as a tropical storm."
5,It quickly became extratropical.
6,"On Bermuda, winds from the precursor extratropical storm produced moderate damage, primarily to power lines and marine interests."
7,"Over 2/3 of the island's power subscribers were left without power during the worst of the storm, and several boats sank or ran aground from the high winds."
8,Damage on Bermuda totaled to over $1.4 million(2001 USD; $1.7 million 2008 USD).
9,"In Atlantic Canada, Tropical Storm Karen produced light winds and rain, but caused minimal damage."
10,"-Meteorological history-
A cold front stalled a couple hundred miles southeast of Bermuda on October 10."
11,"During that day, a strong upper-level trough moved southeastward off the southeast coast of the United States."
12,"Due to several factors, including upward motion and strong diffluence—the rate at which a fluid moves—the area became baroclinically unstable."
13,This caused the interaction between the trough and the front to develop into an extratropical low about 345 miles(555 km) southeast of Bermuda on October 11.
14,"The low moved quickly northward, then northwestward, strengthening quickly due to the instability of the atmosphere."
15,"Late on October 11, the system slowed, and the upper-level circulation became aligned with the low-level circulation."
16,"The extratropical storm began to develop tropical characteristics late on October 11, including surface temperatures warmer than the surrounding environment, and vertical wind characteristics of a tropical cyclone."
17,"Based on its organization, the system developed into Subtropical Storm One early on October 12 while located about 35 miles(56 km) south of Bermuda."
18,"While passing to the south of Bermuda, the subtropical storm maintained winds of 70 mph(110 km/h), with wind gusts on the island surpassing 100 mph(160 km/h)."
19,"After becoming dissociated from the Westerlies, the system turned northward, and began to develop convection over the center."
20,"In addition, the frontal characteristics of the subtropical storm continually weakened."
21,"On October 13, based on an Advanced Microwave Sounding Unit observation that stated that a warm core was present throughout the system, the National Hurricane Center designated the system as a tropical storm, and gave it the name Karen."
22,"At this point, Karen was located 200 miles(320 km) north of Bermuda."
23,"Karen slowly strengthened over the warm waters of the Gulf Stream, and the storm intensified to a hurricane later on October 13."
24,"Convection continued to develop, and organized into a ring around the eye as Karen reached its peak intensity of 80 mph(130 km/h) on October 14 while located about 400 miles(640 km) south of Halifax, Nova Scotia."
25,"Karen quickly weakened as it moved over cooler waters, and late on October 14 it degenerated back into a tropical storm as it accelerated northward."
26,"Convection gradually decreased, and Karen made landfall on southwestern Nova Scotia with winds of 45 mph(72 km/h) on October 15."
27,"Karen retained its tropical characteristics during and after making landfall, based on a research flight out of Halifax intended to study the early stages of extratropical transition."
28,The flight reported arced bands and a warm-core system transitioning into a more typical mid-latitude system.
29,"Under the influence of a mid-latitude system, the storm turned sharply to the northeast, and after losing the remaining of its convection it became extratropical shortly after landfall."
30,"Continuing northward, the remnant low quickly weakened, and dissipated as it was absorbed by a larger extratropical storm over the Gulf of Saint Lawrence."
31,"-Preparations-
On October 10, as the precursor extratropical storm was forming, the Bermuda Weather Service issued a gale and later a storm warning for the island, expecting winds of 50 to 60 mph(80 to 97 km/h)."
32,Several radio interviews and television stations issued information on the expected storm.
33,"Many residents believed they were insufficiently warned, though it is acknowledged that emergency managers and citizens pay less attention to gale warnings than they do for tropical cyclone warnings."
34,"On October 12, as the storm was passing to the south of the island, officials closed all schools and government offices."
35,Many private businesses closed as well.
36,"At the time of Karen's landfall, gale warnings were issued for coastal waters, while inland wind warnings were in effect for Cape Breton."
37,"In addition, heavy rainfall warnings were issued for large portions of Nova Scotia including Halifax, southeastern New Brunswick, Fundy National Park, and Prince Edward Island."
38,"-Impact-
--Bermuda--
While passing to the south of the island, the tight pressure gradient between the precursor extratropical storm and high pressures resulted in strong winds on the island, including sustained winds of hurricane status at Fort George."
