index,0,1
0,Karen shortly before being upgraded to a hurricane on October 13,Karen shortly before being upgraded to a hurricane on October 13
1,Meteorological history,Meteorological history
2,Formed,"October 12, 2001"
3,Dissipated,"October 15, 2001"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,80 mph (130 km/h)
7,Lowest pressure,982 mbar (hPa); 29.00 inHg
8,Overall effects,Overall effects
9,Fatalities,
10,Damage,$1.4 million (2001 USD)
11,Areas affected,"Bermuda, Atlantic Canada"
12,IBTrACS,IBTrACS
13,Part of the 2001 Atlantic hurricane season,Part of the 2001 Atlantic hurricane season
