index,0,1
0,Hurricane Kenneth near peak intensity on September 18,Hurricane Kenneth near peak intensity on September 18
1,Meteorological history,Meteorological history
2,Formed,"September 14, 2005"
3,Dissipated,"September 30, 2005"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,130 mph (215 km/h)
7,Lowest pressure,947 mbar (hPa); 27.96 inHg
8,Overall effects,Overall effects
9,Fatalities,
10,Damage,Unspecified
11,Areas affected,Hawaii
12,Part of the 2005 Pacific hurricane season,Part of the 2005 Pacific hurricane season
