,0,1
0,Hurricane Klaus at peak intensity over the Leeward Islands on October 5,Hurricane Klaus at peak intensity over the Leeward Islands on October 5
1,Meteorological history,Meteorological history
2,Formed,"October 3, 1990"
3,Dissipated,"October 9, 1990"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,80 mph (130 km/h)
7,Lowest pressure,985 mbar (hPa); 29.09 inHg
8,Overall effects,Overall effects
9,Fatalities,11 direct
10,Damage,>$1 million (1990 USD)
11,Areas affected,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Bahamas, Southeastern United States"
12,IBTrACS,IBTrACS
13,Part of the 1990 Atlantic hurricane season,Part of the 1990 Atlantic hurricane season
