,Country/Territory,Country/Territory.1,Fatalities,Damage (2020 USD),Ref
0,Lesser Antilles,Lesser Antilles,0,≥$100 million,
1,Dominican Republic,Dominican Republic,9,≥$100 million,[86]
2,Haiti,Haiti,31,≥$100 million,[87]
3,Cuba,Cuba,0,≥$100 million,
4,Jamaica,Jamaica,0,≥$100 million,[88]
5,Cayman Islands,Cayman Islands,0,≥$100 million,
6,United States,Puerto Rico,0,≥$100 million,
7,United States,Florida,1,$23.2 billion,[89]
8,United States,Louisiana,30,$23.2 billion,[90][91]
9,United States,Mississippi,0,$23.2 billion,[92]
10,United States,Texas,10,$23.2 billion,[93][94][95][96][97]
11,United States,Arkansas,0,$23.2 billion,
12,Totals:,Totals:,81,≥$23.3 billion,[1][2]
