,1853–1949,1853–1949.1
0,"1850s Three (1853) ""Last Island"" (1856) 1860s ""Great Nassau"" (1866) 1870s Seven (1878) 1880s Two (1880) Eight (1880) ""Cuba"" (1882) ""Indianola"" (1886) 1890s ""Chenière Caminada"" (1893) Six (1894) ""Georgia"" (1898) ""San Ciriaco"" (1899) 1900s ""Galveston"" (1900) Four (1906) 1910s ""Cuba"" (1910) ""Galveston"" (1915) ""New Orleans"" (1915) ""Texas"" (1916) ""Nueva Gerona"" (1917) ""Florida Keys"" (1919) 1920s ""Tampa Bay"" (1921) ""Nassau"" (1926) Four (1926) ""Miami"" (1926) ""Havana–Bermuda"" (1926) ""Bahamas"" (1929) 1930s ""San Zenón"" (1930) ""British Honduras"" (1931) ""Freeport"" (1932) ""San Ciprián"" (1932) 1933 Chesapeake–Potomac hurricane (1933) ""Treasure Coast"" (1933) ""Outer Banks"" (1933) Two (1935) ""Cuba"" (1935) Five (1939) 1940s ""Nicaragua"" (1941) Three (1943) ""Cuba–Florida"" (1944) ""Homestead"" (1945) George (1947) Dog (1948) Easy (1948) ""Florida"" (1949)","1850s Three (1853) ""Last Island"" (1856) 1860s ""Great Nassau"" (1866) 1870s Seven (1878) 1880s Two (1880) Eight (1880) ""Cuba"" (1882) ""Indianola"" (1886) 1890s ""Chenière Caminada"" (1893) Six (1894) ""Georgia"" (1898) ""San Ciriaco"" (1899) 1900s ""Galveston"" (1900) Four (1906) 1910s ""Cuba"" (1910) ""Galveston"" (1915) ""New Orleans"" (1915) ""Texas"" (1916) ""Nueva Gerona"" (1917) ""Florida Keys"" (1919) 1920s ""Tampa Bay"" (1921) ""Nassau"" (1926) Four (1926) ""Miami"" (1926) ""Havana–Bermuda"" (1926) ""Bahamas"" (1929) 1930s ""San Zenón"" (1930) ""British Honduras"" (1931) ""Freeport"" (1932) ""San Ciprián"" (1932) 1933 Chesapeake–Potomac hurricane (1933) ""Treasure Coast"" (1933) ""Outer Banks"" (1933) Two (1935) ""Cuba"" (1935) Five (1939) 1940s ""Nicaragua"" (1941) Three (1943) ""Cuba–Florida"" (1944) ""Homestead"" (1945) George (1947) Dog (1948) Easy (1948) ""Florida"" (1949)"
1,1850s,"Three (1853) ""Last Island"" (1856)"
2,1860s,"""Great Nassau"" (1866)"
3,1870s,Seven (1878)
4,1880s,"Two (1880) Eight (1880) ""Cuba"" (1882) ""Indianola"" (1886)"
5,1890s,"""Chenière Caminada"" (1893) Six (1894) ""Georgia"" (1898) ""San Ciriaco"" (1899)"
6,1900s,"""Galveston"" (1900) Four (1906)"
7,1910s,"""Cuba"" (1910) ""Galveston"" (1915) ""New Orleans"" (1915) ""Texas"" (1916) ""Nueva Gerona"" (1917) ""Florida Keys"" (1919)"
8,1920s,"""Tampa Bay"" (1921) ""Nassau"" (1926) Four (1926) ""Miami"" (1926) ""Havana–Bermuda"" (1926) ""Bahamas"" (1929)"
9,1930s,"""San Zenón"" (1930) ""British Honduras"" (1931) ""Freeport"" (1932) ""San Ciprián"" (1932) 1933 Chesapeake–Potomac hurricane (1933) ""Treasure Coast"" (1933) ""Outer Banks"" (1933) Two (1935) ""Cuba"" (1935) Five (1939)"
10,1940s,"""Nicaragua"" (1941) Three (1943) ""Cuba–Florida"" (1944) ""Homestead"" (1945) George (1947) Dog (1948) Easy (1948) ""Florida"" (1949)"
