index,0,1
0,Hurricane Leslie near peak intensity southwest of the Azores on 11 October,Hurricane Leslie near peak intensity southwest of the Azores on 11 October
1,Meteorological history,Meteorological history
2,Formed,23 September 2018
3,Extratropical,13 October 2018
4,Dissipated,16 October 2018
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,90 mph (150 km/h)
8,Lowest pressure,968 mbar (hPa); 28.59 inHg
9,Overall effects,Overall effects
10,Fatalities,17
11,Damage,>$500 million (2018 USD)
12,Areas affected,"Azores, Bermuda, East Coast of the United States, Madeira, Iberian Peninsula, France"
13,IBTrACS,IBTrACS
14,Part of the 2018 Atlantic hurricane and 2018–19 European windstorm seasons,Part of the 2018 Atlantic hurricane and 2018–19 European windstorm seasons
