index,sentences
0,"Hurricane Lili was the second costliest, deadliest, and most intense hurricane of the 2002 Atlantic hurricane season, only surpassed by Hurricane Isidore, which affected the same areas around a week before Lili."
1,"Lili was the twelfth named storm, fourth hurricane, and second major hurricane of the 2002 Atlantic hurricane season."
2,The storm developed from a tropical disturbance in the open Atlantic on September 21.
3,"It continued westward, affecting the Lesser Antilles as a tropical storm, then entered the Caribbean."
4,"As it moved west, the storm dissipated while being affected by wind shear south of Cuba, and regenerated when the vertical wind shear weakened."
5,It turned to the northwest and strengthened up to category 2 strength on October 1.
6,"Lili made two landfalls in western Cuba later that day, and then entered the Gulf of Mexico."
7,"The hurricane rapidly strengthened on October 2, reaching Category 4 strength that afternoon."
8,"It weakened rapidly thereafter, and hit Louisiana as a Category 1 hurricane on October 3."
9,It moved inland and dissipated on October 6.
10,"Lili caused extensive damage through the Caribbean, particularly to crops and poorly built homes."
11,"Mudslides were common on the more mountainous islands, particularly Haiti and Jamaica."
12,"In the United States, the storm cut off the production of oil within the Gulf of Mexico, and caused severe damage in parts of Louisiana."
13,Lili was also responsible for severe damage to the barrier islands and marshes in the southern portion of the state.
14,"Total damage amounted to $925 million(2002 USD), and the storm killed 15 people during its existence."
15,"-Meteorological history-
A tropical wave moved off the west coast of Africa on September 16."
16,A low level center of circulation developed from a tropical disturbance spawned by this tropical wave midway between the African coast and the Caribbean on September 20.
17,"The next day, the system gained sufficient organization to become a tropical depression."
18,"The depression moved westward in excess of 20 mph(32 km/h), and reached tropical storm strength-becoming Tropical Storm Lili as it passed through the Windward Islands."
19,"The cyclone continued to intensify as it moved west through the Caribbean Sea, reaching an initial peak strength of 70 mph(110 km/h) on the morning of September 24."
20,"This was immediately followed by an abrupt weakening, and the storm's maximum sustained winds dropped to 40 mph(64 km/h) later that day."
21,The sudden weakening was attributed to strong southerly vertical shear.
22,"The system degenerated into an open tropical wave the next morning, and remained in that state for nearly two days."
23,Lili regenerated near Jamaica on the evening of September 26 and gradually turned more to the west-northwest while strengthening.
24,"The system became a hurricane on September 30, just after passing through the Cayman Islands."
25,"The storm continued on its course while continuing to intensify, and made landfall twice the next day, on the Isle of Youth and near Pinar del Río as a Category 2 hurricane."
26,"Lili emerged over the Gulf of Mexico later that day, having lost little strength during its overland passage."
27,"The system turned to the northwest and sped up, becoming a major hurricane on October 2 while 365 miles(587 km) south-southeast of New Orleans."
28,"This intensification continued, aided by warm sea surface temperatures in the Gulf of Mexico and good outflow."
29,"The system reached its peak strength of category 4 intensity, with winds of 145 mph(233 km/h), during that afternoon."
30,This strength was not maintained for long.
31,"The storm began to quickly weaken in the early morning hours of October 3, and this rapid weakening continued until the hurricane's final landfall near Intracoastal City, Louisiana, due to a combination of vertical wind shear, cool waters just offshore Louisiana, and slowly encroaching dry air within its southwest quadrant."
32,"By the time of landfall, maximum sustained winds had dropped to 90 mph(145 km/h)."
33,The weakening was accompanied by a collapse of the inner eyewall before landfall.
34,"The system continued inland, curving to the north-northeast, and dissipated when absorbed by an extratropical low near the Arkansas/Tennessee border on October 6."
35,"-Preparations-
Tropical storm watches were issued in parts of the Lesser Antilles on September 22."
36,"These were upgraded to warnings the next afternoon, and all advisories were dropped late on September 23 once the storm had passed."
37,"Over the next week, the islands of Hispaniola, Jamaica, Cuba, the Caymans, and the Yucatán Peninsula were all under advisories of some kind at different times."
38,"Hurricane and tropical storm watches were issued for the Gulf Coast on October 1, and were upgraded to warnings the next morning."
39,They were discontinued after the storm moved past the following day.
40,Preparations in most of the Lesser Antilles were minimal as the storm only hit as a tropical storm.
41,Two hundred people evacuated their homes in advance of the storm on the islands of St. Vincent and Grenadine.
42,"In Jamaica, all schools and universities were closed in advance of the storm, and 17 public shelters were opened on the island."
43,Preparations were extensive in Cuba.
44,Military officials at the Guantanamo Bay detention camp prepared for the possibility of evacuating their Al Qaeda and Taliban prisoners.
45,"A total of 130,000 Cuban citizens, mainly in western portions of the island, evacuated their homes prior to the storm."
46,"Significant action was taken along the Gulf Coast as the threat the storm posed, predicted to come ashore at Category Four strength, became more urgent."
47,"Over a half million people evacuated their homes in Texas and Louisiana, including everyone in Iberia Parish."
48,"A total of 200,000 people evacuated in Louisiana."
49,"At least 2,000 volunteers staffed 115 Red Cross shelters in Louisiana, Texas, Mississippi, and Alabama."
50,"More than 20,000 people stayed in those shelters."
51,"The Red Cross also sent over 160,000 meals to the area."
52,"A total of 3,000 prison inmates in Texas were evacuated to safer inland locations."
53,"The launch of Space Shuttle Atlantis was delayed for five days when the Kennedy Space Center was threatened by the storm, the first time a launch in Florida had been delayed because of weather in Houston."
54,Stores across the warning area were very busy in advance of the storm.
55,"In New Iberia, Louisiana, hardware stores ran out of stock, and businesses in Lafayette, Louisiana reported similar shortages."
56,Collegiate activities were also affected by the storm.
