index,0,1
0,Hurricane Linda at peak intensity on September 8,Hurricane Linda at peak intensity on September 8
1,Meteorological history,Meteorological history
2,Formed,"September 5, 2015"
3,Remnant low,"September 10, 2015"
4,Dissipated,"September 14, 2015"
5,Category 3 major hurricane,Category 3 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,125 mph (205 km/h)
8,Lowest pressure,950 mbar (hPa); 28.05 inHg
9,Overall effects,Overall effects
10,Fatalities,22 total
11,Damage,$3.59 million (2015 USD)
12,Areas affected,"Sinaloa, Oaxaca, Zacatecas, Revillagigedo Islands, Southwestern United States"
13,IBTrACS / [1],IBTrACS / [1]
14,Part of the 2015 Pacific hurricane season,Part of the 2015 Pacific hurricane season
