,0,1
0,Maria shortly before being upgraded to a hurricane on September 15,Maria shortly before being upgraded to a hurricane on September 15
1,Meteorological history,Meteorological history
2,Formed,"September 6, 2011"
3,Extratropical,"September 16, 2011"
4,Dissipated,"September 18, 2011"
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,80 mph (130 km/h)
8,Lowest pressure,983 mbar (hPa); 29.03 inHg
9,Overall effects,Overall effects
10,Fatalities,None reported
11,Damage,$1.3 million (2011 USD)
12,Areas affected,"Lesser Antilles, Bermuda, Newfoundland, Europe"
13,IBTrACS,IBTrACS
14,Part of the 2011 Atlantic hurricane season,Part of the 2011 Atlantic hurricane season
