index,0,1
0,Hurricane Martha just north of Panama on November 21,Hurricane Martha just north of Panama on November 21
1,Meteorological history,Meteorological history
2,Formed,"November 21, 1969"
3,Dissipated,"November 25, 1969"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,90 mph (150 km/h)
7,Lowest pressure,979 mbar (hPa); 28.91 inHg
8,Overall effects,Overall effects
9,Fatalities,5 direct
10,Damage,$30 million (1969 USD)
11,Areas affected,"Panama, Costa Rica"
12,IBTrACS,IBTrACS
13,Part of the 1969 Atlantic hurricane season,Part of the 1969 Atlantic hurricane season
