,0,1
0,Matthew shortly after peak intensity just north of Colombia early on October 1,Matthew shortly after peak intensity just north of Colombia early on October 1
1,Meteorological history,Meteorological history
2,Formed,"September 28, 2016"
3,Extratropical,"October 9, 2016"
4,Dissipated,"October 10, 2016"
5,Category 5 major hurricane,Category 5 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,165 mph (270 km/h)
8,Lowest pressure,934 mbar (hPa); 27.58 inHg
9,Overall effects,Overall effects
10,Fatalities,731 total
11,Damage,$16.5 billion (2016 USD)
12,Areas affected,"Windward Islands, Leeward Antilles, Venezuela, Colombia, Greater Antilles, Lucayan Archipelago, Southeastern United States, Atlantic Canada"
13,IBTrACS,IBTrACS
14,Part of the 2016 Atlantic hurricane season,Part of the 2016 Atlantic hurricane season
15,History Meteorological history Effects Florida Haiti Other wikis Commons: Matthew images,History Meteorological history Effects Florida Haiti Other wikis Commons: Matthew images
