,sentences
0,Hurricane Michael was a powerful and destructive tropical cyclone that in 2018 became the first Category 5 hurricane to make landfall in the contiguous United States since Andrew in 1992.
1,"It was the third-most intense Atlantic hurricane to make landfall in the contiguous United States in terms of pressure, behind the 1935 Labor Day hurricane and Hurricane Camille in 1969."
2,"Michael was the first Category 5 hurricane on record to impact the Florida Panhandle, the fourth-strongest landfalling hurricane in the contiguous United States in terms of wind speed, and the most intense hurricane on record to strike the United States in the month of October."
3,"The thirteenth named storm, seventh hurricane, and second major hurricane of the 2018 Atlantic hurricane season, Michael originated from a broad low-pressure area that formed in the southwestern Caribbean Sea on October 1."
4,"The disturbance became a tropical depression on October 7, after nearly a week of slow development."
5,"By the next day, Michael had intensified into a hurricane near the Guanahacabibes Peninsula, as it moved northward."
6,"The hurricane rapidly intensified in the Gulf of Mexico, reaching major hurricane status on October 9."
7,"As it approached the Florida Panhandle, Michael reached Category 5 status with peak winds of 160 mph(260 km/h) just before making landfall near Mexico Beach, Florida, on October 10, becoming the first to do so in the region as a Category 5 hurricane, and as the strongest storm of the season."
8,"As it moved inland, the storm weakened and began to take a northeastward trajectory toward the Chesapeake Bay, downgrading to a tropical storm over Georgia, and transitioning into an extratropical cyclone over southern Virginia late on October 11."
9,Michael subsequently strengthened into a powerful extratropical cyclone and eventually impacted the Iberian Peninsula before dissipating on October 16.
10,"At least 74 deaths were attributed to the storm, including 59 in the United States and 15 in Central America."
11,"Michael caused an estimated $25.1 billion(2018 USD) in damages, including $100 million in economic losses in Central America, damage to U.S. fighter jets with a replacement cost of approximately $6 billion at Tyndall Air Force Base, and at least $6.23 billion in insurance claims in the U.S. Losses to agriculture alone exceeded $3.87 billion."
12,"As a tropical disturbance, the system caused extensive flooding in Central America in concert with a second disturbance over the eastern Pacific Ocean."
13,"In Cuba, the hurricane's winds left over 200,000 people without power as the storm passed to the island's west."
14,"Along the Florida panhandle, the cities of Mexico Beach and Panama City suffered the worst of Michael, incurring catastrophic damage from the extreme winds and storm surge."
15,Numerous homes were flattened and trees felled over a wide swath of the panhandle.
16,A maximum wind gust of 139 mph(224 km/h) was measured at Tyndall Air Force Base before the sensors failed.
17,"As Michael tracked across the Southeastern United States, strong winds caused extensive power outages across the region."
18,"-Meteorological history-
A large area of disturbed weather spawned over the mid-to-western Caribbean Sea around October 1–2, and absorbed the remnants of Tropical Storm Kirk."
19,The National Hurricane Center(NHC) anticipated on October 2 that strong upper-level winds would prevent any significant development of the system for at least a couple of days.
20,"On the same day, a tropical wave –  an elongated trough of low air pressure –  tracked into the area."
21,This possibly led to an increase in thunderstorm activity which in turn gave rise to a surface low southwest of Jamaica on October 3.
22,"Although the low was initially predicted to travel northward, it instead tracked west-southwestward and moved ashore in northeastern Honduras on October 4."
23,The low became incorporated into a broad cyclonic gyre which was located over Central America by October 5.
24,A center which was located over the eastern Pacific moved across Central America on October 6 and integrated into the gyre.
25,The gyre's center reformed over the northwestern Caribbean Sea on the same day.
26,"Due to the imminent threat that the system posed to land, the NHC began issuing advisories on it as Potential Tropical Cyclone Fourteen around 21:00 UTC on October 6."
27,"Meanwhile, an upper-level trough located over the Gulf of Mexico was imparting vertical wind shear over the system."
28,"Despite this, the system's convection or thunderstorm activity, as well as its circulation, were improving in organization on both satellite imagery and in surface observations."
29,The disturbance tracked generally northward within the southerly flow between a subtropical ridge which was located over the western Atlantic Ocean and a mid-latitude trough that was traveling eastward across the United States.
30,"A tropical depression spawned around 06:00 UTC on October 7, approximately 150 mi(240 km) south of Cozumel, Mexico."
31,"Around that time, Belizean radar showed that convection was forming just northeast of the depression's low-level center."
32,The nascent depression was located in an environment of strong wind shear and warm 82–86 °F(28–30 °C) sea surface temperatures.
33,"Around 12:00 UTC, the depression intensified into a tropical storm, receiving the name Michael."
34,"During the next six hours, the center of the storm relocated to the northeast as a result of flaring convection in that region."
35,The system proceeded to travel slightly east of north as it rounded the western periphery of a mid-level ridge that was located over the western Atlantic.
36,"After becoming a tropical storm, Michael began a period of rapid intensification."
37,"Initially, the NHC had predicted Michael to reach a peak intensity of 70 mph(110 km/h) as wind shear was expected to persist for at least two days, however, Michael became significantly stronger by the time it made landfall, reaching Category 5 status on the Saffir-Simpson scale."
38,Two factors may have helped to facilitate the cyclone's intensification; the first was diffluence or streamline divergence – the elongating of a fluid body normal to the flow –  originating from an upper-level trough that was counteracting the wind shear.
39,The second factor was that Michael's outflow entered another upper-level trough that was located east of the storm.
40,"A WC-130 aircraft from the United States Air Force Reserve 53rd Weather Reconnaissance Squadron discovered that Michael had been quickly intensifying as it surveyed the tropical cyclone in the afternoon and evening of October 7, measuring peak stepped frequency microwave radiometer(SFMR) winds between 45 and 60 mph(72 and 97 km/h) during its mission."
41,"Although Michael had strengthened to 60 mph(97 km/h) by 00:00 UTC on October 8, most of the storm's convection remained displaced to its eastern side as a result of the wind shear."
42,"Microwave imagery, however, showed that the core of Michael had improved, with one banding feature curving around most of the storm."
43,"The tropical storm continued to organize, with convection and outflow increasing in the western half of the system."
44,Michael became a Category 1 hurricane around 12:00 UTC on October 8.
45,An eye was beginning to appear in satellite imagery around the same time.
46,"Around 18:30 UTC on October 8, Michael reached its initial peak intensity as a Category 2 hurricane with winds of 100 mph(160 km/h) as it tracked just west of Cabo del San Antonio, Cuba."
47,"But overnight, Michael's eyewall began to degrade due to a cold water eddy, dry air incursion, and wind shear, signaling that the rapid intensification had ceased."
48,"Shortly after, the hurricane's banding features began to improve as the system was located over the warm waters of the Gulf of Mexico."
49,"By 12:00 UTC on October 9, Michael had begun to rapidly intensify once more; its eye had become better defined and outflow improved as the westerly shear decreased."
50,"Meanwhile, the hurricane was tracking north-northwest due to a mid-level ridge."
51,The tropical cyclone strengthened into a Category 3 major hurricane by 18:00 UTC as cold convection developed over the eastern and southeastern regions of the storm and wrapped around its eyewall.
52,Cloud temperatures decreased to −103 °F(−75 °C) in the central dense overcast and were as low as −126 °F(−88 °C) in the eyewall.
53,Michael resumed a northward trek early on October 10 as it traveled between the ridge and a mid-latitude shortwave trough.
54,Outflow generated by the trough may have hastened Michael's rapid intensification until landfall.
55,"The outer rainbands of Michael began to move ashore around 10:00 UTC, and the cyclone's eye continued to warm as it approached the Florida Panhandle, however, radar imagery showed a secondary eyewall was beginning to form."
56,The hurricane's direction shifted to the northeast under the influence of the westerlies.
57,"Michael reached its peak intensity as a Category 5 hurricane with maximum sustained winds of 160 mph(260 km/h) and a minimum central pressure of 919 mbar(27.14 inHg) around 17:30 UTC on October 10, as it made landfall near Tyndall Air Force Base in Florida."
58,"Operationally, the NHC had reported Michael's landfall intensity as 155 mph(249 km/h) based on flight-level winds of 175 mph(282 km/h) and SFMR readings between 152 and 159 mph(245 and 256 km/h)."
59,"However, some data from the SFMR instrument was missing and had to be reconstructed by the National Oceanic and Atmospheric Administration's Aircraft Operation Center."
60,This data yielded a peak SFMR value of 175 mph(282 km/h) for the time that the reconnaissance aircraft surveyed the southern eyewall.
61,"Additionally, doppler weather radar from Eglin Air Force Base estimated peak winds of 178 mph(286 km/h) at 17:22 UTC, around the same location as the aircraft."
62,"The radar displayed that stronger winds existed northeast of the aircraft, outside its field of observation."
63,"After moving ashore, Michael quickly became less intense; by 21:30 UTC on October 10, just four hours after landfall, Michael had weakened below Category 3 status before moving into southwestern Georgia."
64,"Around that time, the hurricane was continuing to track northeast under the influence of the westerlies."
65,"Doppler radar displayed that Michael had continued to degrade, with the storm weakening into a high-end Category 1 hurricane by 00:00 UTC."
66,"At that time, the peak winds were confined to a region of convection near Michael's low-level center."
67,"Six hours later, Michael fell to tropical storm intensity, with only a small zone of storm-force winds existing near its center."
68,"Most of the peak winds were displaced to the southeast, over the Atlantic Ocean."
69,The storm entered South Carolina around 15:00 UTC on October 11.
70,"By that time, all of the gale-force winds associated with Michael were occurring over the Atlantic Ocean and along the shoreline."
71,"As Michael entered North Carolina late on October 11, it began to transition into an extratropical cyclone."
72,"Cold, dry air entrained into the storm's circulation."
73,"Winds increased northwest of the storm's elongating center, over the states of North Carolina and Virginia."
74,"Michael became fully extratropical by 00:00 UTC on October 12 as it traveled east-northeastward, just north of Raleigh, North Carolina."
75,"Around that time, another low-level center with a lower pressure had formed farther north, near Chesapeake Bay, as baroclinic processes began to restrengthen the former hurricane."
76,"The extratropical cyclone emerged into the Atlantic around 06:00 UTC after passing near Norfolk, Virginia."
77,Michael obtained hurricane-force winds on October 13 while in the Atlantic waters south of Nova Scotia and Newfoundland.
78,It quickly traveled to the northeastern Atlantic by October 14.
79,"The cyclone turned sharply southeastward and later southward around the northeastern edge of the ridge, weakening slightly, as it approached the Iberian Peninsula."
80,"Michael's remnant low dissipated by 00:00 UTC on October 16, while it was located just west of northern Portugal."
81,"On the same day, Michael's extratropical remnant absorbed the remnants of Hurricane Leslie, which were situated to the east of Michael, following a brief Fujiwhara interaction; Michael's remnants subsequently dissipated shortly afterward."
82,"-Preparations-
--Cuba--
In the province of Pinar del Río, 300 people were evacuated to the homes of neighbors or relatives."
83,"In the province of Artemisa, particularly in the areas of Playa de Majana and the towns of Cajio and Guanimar, which are prone to coastal flooding, evacuations were carried out, but the number of evacuees were unknown."
84,A national response plan was carried out and alert as well as evacuation phases were being fulfilled as well.
85,"In western Cuba, a hurricane warning was issued 10 hours before the center passed over Cabo del San Antonio."
86,"Tropical storm warnings were also issued for western Cuba, but it was noted that there were a lack of watches issued by the NHC which was blamed on poor intensity forecasts which depicted Michael becoming a hurricane after passing over the island."
87,"--United States--
Roughly 375,000 people across 22 Florida counties in the Florida Panhandle and north-central Florida were under orders or recommendations to evacuate."
88,"Mandatory evacuation orders were issued for parts of several Florida counties, including communities such as Panama City Beach and covering over 180,000 residents."
89,"A survey of 1,523 people in Alabama, Georgia, and Florida later found that 61 percent of survey respondents did not evacuate, and that 80 percent of respondents underestimated the hurricane or the potential scope of its effects."
90,"On October 7, 2018, Florida governor Rick Scott declared a state of emergency and activated 500 members of the Florida National Guard, with another 5,000 members placed on standby."
91,Non-mission essential personnel and aircraft were evacuated from Tyndall Air Force Base; aircraft were also moved out of Hurlburt Field and Eglin Air Force Base.
92,"Schools closed their campuses during the hurricane's passage, including Florida A&M University, Florida State University, and Tallahassee Community College."
93,The Apalachicola National Forest and Congaree National Park closed for safety reasons.
94,"Energy companies paused offshore oil production equivalent to about 324,190 barrels per day, accounting for around a fifth of oil production in the Gulf of Mexico."
