,0,1
0,Hurricane Orlene shortly after peak intensity on October 2,Hurricane Orlene shortly after peak intensity on October 2
1,Meteorological history,Meteorological history
2,Formed,"September 28, 2022"
3,Dissipated,"October 3, 2022"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,130 mph (215 km/h)
7,Lowest pressure,954 mbar (hPa); 28.17 inHg
8,Overall effects,Overall effects
9,Fatalities,None reported
10,Damage,">$600,000 (2022 USD)"
11,Areas affected,Northwestern Mexico
12,IBTrACS / [1],IBTrACS / [1]
13,Part of the 2022 Pacific hurricane season,Part of the 2022 Pacific hurricane season
