index,0,1
0,"Hurricane Pali at peak intensity, over the Central Pacific on January 13","Hurricane Pali at peak intensity, over the Central Pacific on January 13"
1,Meteorological history,Meteorological history
2,Formed,"January 7, 2016"
3,Remnant low,"January 14, 2016"
4,Dissipated,"January 15, 2016"
5,Category 2 hurricane,Category 2 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,100 mph (155 km/h)
8,Lowest pressure,978 mbar (hPa); 28.88 inHg
9,Overall effects,Overall effects
10,Fatalities,4 total
11,Damage,Unknown
12,Areas affected,Kiribati
13,IBTrACS / [1],IBTrACS / [1]
14,Part of the 2016 Pacific hurricane season,Part of the 2016 Pacific hurricane season
