,sentences
0,"Hurricane Rafael was the strongest November tropical cyclone in the Gulf of Mexico on record, tied with 1985's Hurricane Kate."
1,"The seventeenth named storm, eleventh hurricane, and fifth major hurricane of the 2024 Atlantic hurricane season, Rafael formed on November 4, 2024 from an area of low-pressure spawned by a Central American gyre."
2,"Steady organization occurred throughout the next two days, with Rafael becoming a hurricane early on November 6, as it moved northwest towards Cuba."
3,"Favorable conditions enabled the cyclone to rapidly intensify, becoming a Category 3 major hurricane later that day before landfall in Cuba."
4,"Then, after weakening some while over land, it entered the Gulf of Mexico and re-intensified to a major hurricane once again at peak intensity early on November 8."
5,"Hostile conditions, including wind shear and cooler sea-surface temperatures, caused the hurricane to rapidly weaken afterward, falling below hurricane intensity later that day, and eventually degenerating into a remnant low on November 10."
6,The circulation opened up into a trough the next day.
7,Two deaths have been confirmed in Jamaica as a result of flooding caused by Rafael.
8,"Additionally, at least five deaths in Panama occurred due to heavy flooding and landslides produced by Rafael's precursor disturbance, along with one death in Colombia."
9,Preliminary damages are estimated to be at least US$1.35 billion.
10,"-Meteorological history-
On October 26, the National Hurricane Center(NHC) began monitoring the southwestern Caribbean in anticipation of tropical development."
11,"Several days later, on November 1, a broad area of low pressure developed over the southwestern Caribbean, associated with a Central American gyre."
12,"The disturbance initially remained disorganized, but began showing signs of organization on November 3."
13,"That afternoon, Air Force Hurricane Hunters collected data showing that the system had developed a closed center but that deep convection had not yet become organized enough for it to be declared a tropical depression."
14,"Due to the disturbance's impending threat to Jamaica and the Cayman Islands, the NHC designated the developing storm Potential Tropical Cyclone Eighteen."
15,"The following day, data from the Hurricane Hunters, satellite imagery, and surface observations revealed that the disturbance had developed a well-defined center and was producing organized deep convection; it was accordingly upgraded to Tropical Depression Eighteen the morning of November 4."
16,"At the time, the newly-formed cyclone was located about 195 mi(310 km) south of Kingston, Jamaica."
17,"Amid favorable conditions, including warmer than average sea surface temperatures of 30 °C(86 °F), the depression continued to strengthen and became Tropical Storm Rafael that afternoon."
18,"The storm tracked northwestward along the southwestern side of a ridge over the western Atlantic on November 5, and passed to the west of Jamaica."
19,"That afternoon it developed an inner wind core, and strengthened into a hurricane early on November 6."
20,"Rapid intensification ensued throughout the morning as a small eye became visible, with Rafael becoming a Category 3 major hurricane that afternoon as it neared Cuba, eventually making landfall in the province of Artemisa, just east of Playa Majana, at 21:15 UTC on November 6, with sustained winds of 115 mph(185 km/h)."
21,"A few hours later, the system entered the Gulf of Mexico as a weaker Category 2 hurricane."
22,"It then proceeded to turn west-northwestward and re-intensify, becoming a major hurricane once again early on November 8 with peak winds of 120 mph(195 km/h)."
23,"Later that afternoon, however, the system turned westward and began losing strength and organization due to increasing westerly wind shear and dry air intrusion."
24,"This trend continued, and Rafael was downgraded to a tropical storm late that same day."
25,"By late the following day, the storm's convection was limited to the northeast of an exposed and broad low-level center."
26,"On November 10, Rafael's remaining convection collapsed, and it degenerated into a remnant low while drifting over the central Gulf, before opening up into a trough on the next day."
27,The remnant trough continued meandering until dissipating early on November 13.
