index,0,1
0,Rafael in the Gulf of Mexico near peak intensity early on November 8,Rafael in the Gulf of Mexico near peak intensity early on November 8
1,Meteorological history,Meteorological history
2,Formed,"November 4, 2024"
3,Dissipated,"November 10, 2024"
4,Category 3 major hurricane,Category 3 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,120 mph (195 km/h)
7,Lowest pressure,954 mbar (hPa); 28.17 inHg
8,Overall effects,Overall effects
9,Fatalities,8
10,Damage,≥$1.35 billion (2024 USD)
11,Areas affected,Panama Costa Rica Colombia Jamaica Cayman Islands Cuba
12,Part of the 2024 Atlantic hurricane season,Part of the 2024 Atlantic hurricane season
