index,0,1
0,Hurricane Rick nearing landfall near Lázaro Cárdenas on October 24,Hurricane Rick nearing landfall near Lázaro Cárdenas on October 24
1,Meteorological history,Meteorological history
2,Formed,"October 22, 2021"
3,Dissipated,"October 25, 2021"
4,Category 2 hurricane,Category 2 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,105 mph (165 km/h)
7,Lowest pressure,977 mbar (hPa); 28.85 inHg
8,Overall effects,Overall effects
9,Fatalities,1 total
10,Damage,$25.8 million
11,Areas affected,Southwestern and Western Mexico
12,IBTrACS,IBTrACS
13,Part of the 2021 Pacific hurricane season,Part of the 2021 Pacific hurricane season
