,0,1
0,Hurricane Sam near peak intensity on September 26,Hurricane Sam near peak intensity on September 26
1,Meteorological history,Meteorological history
2,Formed,"September 22, 2021"
3,Extratropical,"October 5, 2021"
4,Dissipated,"October 7, 2021"
5,Category 4 major hurricane,Category 4 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,155 mph (250 km/h)
8,Lowest pressure,927 mbar (hPa); 27.37 inHg
9,Overall effects,Overall effects
10,Fatalities,
11,Damage,Minimal
12,Areas affected,"West Africa, Lesser Antilles, Puerto Rico, Bermuda, Iceland, Greenland"
13,IBTrACS,IBTrACS
14,Part of the 2021 Atlantic hurricane season,Part of the 2021 Atlantic hurricane season
