index,sentences
0,Hurricane Tico is one of four major hurricanes to ever strike Mazatlan and one of the strongest landfalling Pacific hurricanes on record.
1,"Tico was the twenty-third tropical cyclone, nineteenth named storm, eleventh hurricane, and eighth major hurricane of the 1983 Pacific hurricane season."
2,"The origins of Hurricane Tico were a weak tropical disturbance that crossed Costa Rica into the Pacific Ocean on October 7, 1983."
3,"Over warm waters, the system was sufficiently organized to be declared Tropical Depression Twenty-One on October 11, about 575 mi(925 km) south of Acapulco."
4,On October 12 it turned sharply northward; the depression was upgraded to Tropical Storm Tico on October 13.
5,Tropical Storm Tico continued to intensify.
6,"Two days after becoming a tropical storm, Tico strengthened further to attain hurricane status."
7,"Early on October 19, it reached peak winds of 130 mph(210 km/h)."
8,"It weakened slightly as it approached the coast, and at about 1500 UTC that day Tico made landfall near Mazatlán with winds of 125 mph(205 km/h)."
9,The remains were tracked into the Mid-Atlantic States for five more days.
10,Tico was the deadliest and most destructive tropical cyclone of the season.
11,"Overall, the hurricane sank nine small ships, and nine fishermen were killed."
12,Hurricane Tico was responsible severe flooding and heavy damage due to strong winds.
13,"Throughout the state of Sinaloa, the hurricane destroyed nearly 19,000 acres(77 km2) of bean and corn, although most of the agricultural damage occurred south of Mazatlán."
14,"In addition, the hurricane disrupted the flow of drinking water."
15,A total of 13 hotels received extensive damage and 14 people were hurt.
16,Twenty-five thousand people were homeless and damage throughout the country was estimated at $200 million(1983  USD).
17,Hurricane Tico caused a total of 135 deaths in Mexico.
18,"Although most of its impact occurred in Mexico, Tico's remnants moved into the United States, where they caused heavy rains and flooding."
19,A total of 141 people were killed and the damage amounted to $284 million(1983 USD).
20,"Despite the extensive damage and major loss of life resulting from the storm, the name Tico would not be retired, although it has not been used to name a Pacific hurricane since."
21,"-Meteorological history-
The origins of Hurricane Tico were from a weak tropical disturbance that crossed Costa Rica into the Pacific Ocean on October 7."
22,"It tracked westward through an area of progressively warmer water temperatures, and by October 11 the system was sufficiently organized to be declared Tropical Depression Twenty-One, about 575 mi(930 km) south of the Mexican port of Acapulco."
23,"The depression initially maintained a west-northwest motion, although on October 12 it turned sharply northward, due to the influence of a strong trough moving eastward through Mexico."
24,"Gradually organizing, the depression was upgraded to Tropical Storm Tico on October 13 by the Eastern Pacific Hurricane Center(EPHC)."
25,Tropical Storm Tico continued to intensify as it progressed toward the southwest Mexican coastline.
26,"A Hurricane Hunters flight late on October 13 indicated the beginnings of an eyewall, 14 miles(22 km) in diameter, although the eye was open and incomplete."
27,"The next day, Tico strengthened further to attain hurricane status, about 190 mi(310 km) off the Guerrero coast."
