,0,1
0,2010,Jan 17–26 Feb 1–6 Feb 7–11 Feb 24–27 Mar 12–16) Oct 23–28 Dec 5–29
1,2011,Jan 8–13 Jan 24–28 Jan 29 – Feb 3 Oct 28 – Nov 1 Nov 8–10
2,2012,Jan 16–20 Oct 29 – Nov 2 Nov 7–10 Dec 17–22 Dec 25–28
3,2013,Feb 7–10 Feb 22–29 Mar 1–10 Mar 18–20 Oct 3–5 Nov 22–28 Dec 19–23
4,2014,"Dec 30, 2013 – Jan 4 Jan 20–22 Jan 27–31 Feb 11–14 Feb 19–21 Feb 27 – Mar 4 Mar 24–28 Nov 8–13 Nov 13–21 Dec 9–11 Dec 10–27"
5,2015,Jan 23–30 Jan 31 – Feb 2 Feb 12–17 Feb 20 – Mar 1 Feb 25–26 Mar 1–6 May 9–11 Nov 24–27 Dec 26–30
6,2016,Jan 21–24 Jan 29 – Feb 7 Feb 7–10 Feb 23–24 Mar 8–11 Mar 21–25 Apr 15–23 Dec 23–26
7,2017,Jan 4–8 Jan 7–13 Jan 10–17 Jan 19–24 Jan 21–23 Feb 6–10 Feb 12–14 Feb 8–22 Mar 11–15 Apr 28 – May 1 Oct 29–31 Dec 8–10
8,2018,Jan 2–5 Jan 13–16 Mar 1–3 Mar 6–8 Mar 11–15 Mar 20–22 Apr 12–15 Nov 14-15
9,2019,Jan 16–21 Feb 11–13 Mar 3–4 Mar 11–15 Apr 10–12 Nov 26 – Dec 3 Dec 21–26
