,sentences
0,The January 2012 Pacific Northwest snowstorm was a large extratropical cyclone that brought record snowfall to the Pacific Northwest in January 2012.
1,"The storm produced very large snowfall totals, reaching up to 50 inches(1,300 mm) in Oregon."
2,"A 110 mph(180 km/h) wind gust was reported at Otter Rock, Oregon."
3,"A mother and child were killed in Oregon after the car they were in slid into a creek, while a man was killed in the Seattle area."
4,"About 200,000 homes were without power in the Greater Seattle area after the storm."
5,"-Meteorological synopsis-
The storm was first noted just off the coast of British Columbia on January 16, with a central pressure of 1,018 millibars(30.1 inHg)."
6,The center of the low pressure area had then moved south to about 300 miles(480 km) off the Oregon Coast.
7,"At the same time, the storm had attained peak intensity of 992 millibars(29.3 inHg)."
8,"The storm then began to move closer to the coastline, and by 2000 UTC on January 18, the storm was located about 40 miles(64 km) off the coast of Washington."
9,"By 0200 UTC the next day, 28.9 inches(730 mm) of snow had already fallen in Stanley, Idaho."
10,"-Impact-
--United States--
The National Weather Service(NWS) began issuing severe weather warnings for the whole of the Pacific Northwest on January 17 and 18."
11,A hurricane-force wind warning was issued for offshore Oregon at about 1600 UTC on January 18.
12,A storm warning was also issued for parts of California and Oregon.
13,Numerous flights were cancelled due to heavy snow and rain.
14,"The NWS office in Missoula, Montana, said that this storm ranked in the top seven of the top snowfall events in the area."
15,"Interstate 5 near Centralia, Washington, was closed temporarily due to powerlines brought down by snowfall; the standard detour route was also blocked by trees and powerlines."
16,Amtrak service between Portland and Seattle was canceled due to trees and debris left on tracks.
17,"More than 12 Oregon highways were closed due to storm damage, and many more were partly closed."
18,Oregon Route 213 near Molalla closed for several days due to an undermined roadbed beside a culvert.
19,"-Non-winter weather events-
--Rainfall--
A Pineapple Express event brought heavy precipitation to Western Oregon, generally more so than to western Washington, with most precipitation in the form of rain instead of snow."
20,"Eugene broke its precipitation record for January 18, and Salem came within 0.07 inches(1.8 mm) of breaking its record for January 19."
21,The weather was attributed to La Niña.
