index,sentences
0,The January 2013 Northwest Pacific cyclone was a powerful extratropical cyclone which caused heavy rainfall and a severe blizzard in Japan in January 2013.
1,"Forming northeast of Taiwan on January 13 and absorbing Tropical Depression Bising soon afterward, the storm quickly intensified in the southern sea off Japan on January 14, and reached its peak intensity east of Japan on January 15, with its central atmospheric pressure decreasing to 936 hPa(27.6 inHg)."
2,"The system then weakened, crossed the Kamchatka Peninsula late on January 18, and dissipated east of Hokkaido on January 21."
3,"-Meteorological history-
At 0000 UTC on January 13, an extratropical cyclone formed northeast of Taiwan, and the Japan Meteorological Agency(JMA) started to issue storm warnings on the developing low; 18 hours later, the storm southeast of Kyushu absorbed Tropical Depression Bising which formed near the Philippines."
4,"Fed by the remnants of the tropical depression's huge amounts of heat and vapor, the storm quickly intensified and became a hurricane-force bomb cyclone when it passed over the sea south of Japan on January 14."
5,"Late the same day, the estimated 10-minute maximum sustained winds reached 80 knots(150 km/h) when the storm was east of the Tōhoku region."
6,"On January 15, the atmospheric pressure of the powerful extratropical cyclone far east of Hokkaido decreased to 936 hPa(27.6 inHg), which is equivalent to a very strong typhoon."
7,"At 0000 UTC on January 16, the extratropical cyclone started to weaken, and the storm was no longer producing sustained hurricane-force winds."
8,"A half of day later, the estimated 10-minute maximum sustained winds weakened to 50 knots(93 km/h) when the system was located southeast of the Kamchatka Peninsula, whilst the atmospheric pressure also decreased to 948 hPa(28.0 inHg)."
9,"The storm turned westerly on January 17, and it became gale-force at 00Z on January 18."
10,"Late on January 18, the center crossed the southernmost point of the Kamchatka Peninsula and arrived at the Sea of Okhotsk, when the atmospheric pressure was 986 hPa(29.1 inHg)."
11,"The low turned southwesterly then southerly, and it passed through the Kuril Islands on January 20."
12,The system finally dissipated to the far east of Hokkaido on January 21.
13,"-Impact-
--Japan--
The powerful extratropical cyclone which passed over the sea south of Japan caused heavy rainfall and snowfall in the country on January 14."
14,"In Tokyo, the blizzard dumped 8 cm(3.1 in) of snow in nine hours."
15,It also left 13 cm(5.1 in) of snow in the neighboring city Yokohama and 30 cm(12 in) of snow in mountainous areas around Tokyo.
16,About 1600 injuries were recorded in Japan.
17,"In Shiojiri, a 71-year-old man died after falling into an open drain as he cleared snow around his house."
18,"A large chunk of frozen snow fell from the Tokyo Skytree and crashed into the roof of a house below, leaving a 30 cm(12 in) hole."
19,"As January 14 was also Coming of Age Day in 2013, many young Japanese people who were celebrating their 20th year had to walk through heavy snowfall to attend Coming of Age Day ceremonies."
