,0,1
0,"The bomb cyclone east of Japan on January 15, 2013","The bomb cyclone east of Japan on January 15, 2013"
1,Meteorological history,Meteorological history
2,Formed,"January 13, 2013"
3,Dissipated,"January 21, 2013"
4,Extratropical cyclone,Extratropical cyclone
5,Highest winds,"29.2 m/s (105 km/h) in Chōshi, Japan[1] (10-minute winds 90 mph (140 km/h), 1-minute winds 100 mph (160 km/h))"
6,Highest gusts,"38.6 m/s (139 km/h) in Miyake-jima, Japan[2]"
7,Lowest pressure,936 hPa (mbar); 27.64 inHg
8,Overall effects,Overall effects
9,Fatalities,1
10,Areas affected,"Taiwan, Japan, Russian Far East"
