,0,1,2,3,4
0,"List of highest snowfall accumulations by state during the 2016 blizzard State Location Amount Ref. Alabama Harvest 3.5 in (8.9 cm) [142] Arkansas Cabot, Jacksonville, Sherwood 8.0 in (20 cm) [108][142] Connecticut Norwalk 16.0 in (41 cm) [120] Delaware Woodside 17.2 in (44 cm) [120] Georgia Germany Valley 8.9 in (23 cm) [180] Illinois Shawneetown 5.5 in (14 cm) [142] Indiana Floyds Knobs 5.0 in (13 cm) [142] Kansas Barnes 10.0 in (25 cm) [142] Kentucky Booneville 22.0 in (56 cm) [142] Louisiana Haynesville 2.5 in (6.4 cm) [142] Maryland North Potomac 38.5 in (98 cm) [120] Massachusetts West Harwich 15.5 in (39 cm) [120] Mississippi Myrtle, Oxford 2.0 in (5.1 cm) [142] Missouri East Prairie 3.0 in (7.6 cm) [142] Nebraska Hebron 9.0 in (23 cm) [142] New Jersey Morris Plains 33.0 in (84 cm) [120] New York Jackson Heights 34.0 in (86 cm) [120] North Carolina Mount Mitchell 33.0 in (84 cm)[nb 2] [179] Ohio Graysville 17.0 in (43 cm) [142] Pennsylvania Greencastle 38.3 in (97 cm) [142] Rhode Island Westerly 15.5 in (39 cm) [120] South Carolina Inman 7.5 in (19 cm) [142] Tennessee Jamestown 14.0 in (36 cm) [142] Virginia Gainesboro 38.0 in (97 cm) [181] Washington, D.C. Dalecarlia Reservoir 26.0 in (66 cm) [181] West Virginia Glengary 42.0 in (107 cm) [120][182]",List of all-time and daily snowfall records set during the 2016 blizzard State Location Amount Record type Ref. Arkansas Little Rock 7.2 in (18 cm) Daily (January 22) Connecticut Bridgeport 9.5 in (24 cm) Daily (January 23) [183] Delaware Wilmington 13.1 in (33 cm) Daily (January 23) [183] Indiana Evansville 5.1 in (13 cm) Daily (January 22) [183] Kentucky Bowling Green 12.2 in (31 cm) Daily (January 22) [184] Kentucky Jackson 15.7 in (40 cm) Daily (January 22) [183] Kentucky Paducah 5.9 in (15 cm) Daily (January 22) [183] Maryland Baltimore–Washington International Airport 29.2 in (74 cm) All-time [120][142] New Jersey Atlantic City 10.1 in (26 cm) Daily (January 23) [183] New York Central Park 27.5 in (70 cm) All-time [141] New York Islip 23.4 in (59 cm) Daily (January 23) [183] New York John F. Kennedy International Airport 30.5 in (77 cm) All-time [120][142] New York LaGuardia Airport 27.9 in (71 cm) All-time [120][142] North Carolina Asheville 10.6 in (27 cm) Daily (January 22) [183] North Carolina Raleigh–Durham International Airport 1.2 in (3.0 cm) Daily (January 22) [183] Pennsylvania Allentown 31.9 in (81 cm) All-time [142] Pennsylvania Harrisburg 30.2 in (77 cm) All-time [120][142] Pennsylvania Philadelphia International Airport 19.4 in (49 cm) Daily (January 23) [183] Tennessee Nashville 8.0 in (20 cm) Daily (January 22) [183] Virginia Norfolk 1.2 in (3.0 cm) Daily (January 23) [183] Virginia Richmond 5.3 in (13 cm) Daily (January 23) [183] Virginia Ronald Reagan Washington National Airport 11.3 in (29 cm) Daily (January 23) [183] Virginia Washington Dulles International Airport 22.1 in (56 cm) Daily (January 23) [183] Virginia Wallops Island 1.0 in (2.5 cm) Daily (January 23) [183],,,
1,State,Location,Amount,Ref.,
2,Alabama,Harvest,3.5 in (8.9 cm),[142],
3,Arkansas,"Cabot, Jacksonville, Sherwood",8.0 in (20 cm),[108][142],
4,Connecticut,Norwalk,16.0 in (41 cm),[120],
5,Delaware,Woodside,17.2 in (44 cm),[120],
6,Georgia,Germany Valley,8.9 in (23 cm),[180],
7,Illinois,Shawneetown,5.5 in (14 cm),[142],
8,Indiana,Floyds Knobs,5.0 in (13 cm),[142],
9,Kansas,Barnes,10.0 in (25 cm),[142],
10,Kentucky,Booneville,22.0 in (56 cm),[142],
11,Louisiana,Haynesville,2.5 in (6.4 cm),[142],
12,Maryland,North Potomac,38.5 in (98 cm),[120],
13,Massachusetts,West Harwich,15.5 in (39 cm),[120],
14,Mississippi,"Myrtle, Oxford",2.0 in (5.1 cm),[142],
15,Missouri,East Prairie,3.0 in (7.6 cm),[142],
16,Nebraska,Hebron,9.0 in (23 cm),[142],
17,New Jersey,Morris Plains,33.0 in (84 cm),[120],
18,New York,Jackson Heights,34.0 in (86 cm),[120],
19,North Carolina,Mount Mitchell,33.0 in (84 cm)[nb 2],[179],
20,Ohio,Graysville,17.0 in (43 cm),[142],
21,Pennsylvania,Greencastle,38.3 in (97 cm),[142],
22,Rhode Island,Westerly,15.5 in (39 cm),[120],
23,South Carolina,Inman,7.5 in (19 cm),[142],
24,Tennessee,Jamestown,14.0 in (36 cm),[142],
25,Virginia,Gainesboro,38.0 in (97 cm),[181],
26,"Washington, D.C.",Dalecarlia Reservoir,26.0 in (66 cm),[181],
27,West Virginia,Glengary,42.0 in (107 cm),[120][182],
28,State,Location,Amount,Record type,Ref.
29,Arkansas,Little Rock,7.2 in (18 cm),Daily (January 22),
30,Connecticut,Bridgeport,9.5 in (24 cm),Daily (January 23),[183]
31,Delaware,Wilmington,13.1 in (33 cm),Daily (January 23),[183]
32,Indiana,Evansville,5.1 in (13 cm),Daily (January 22),[183]
33,Kentucky,Bowling Green,12.2 in (31 cm),Daily (January 22),[184]
