,State,Location,Amount,Record type,Ref.
0,Arkansas,Little Rock,7.2 in (18 cm),Daily (January 22),
1,Connecticut,Bridgeport,9.5 in (24 cm),Daily (January 23),[183]
2,Delaware,Wilmington,13.1 in (33 cm),Daily (January 23),[183]
3,Indiana,Evansville,5.1 in (13 cm),Daily (January 22),[183]
4,Kentucky,Bowling Green,12.2 in (31 cm),Daily (January 22),[184]
5,Kentucky,Jackson,15.7 in (40 cm),Daily (January 22),[183]
6,Kentucky,Paducah,5.9 in (15 cm),Daily (January 22),[183]
7,Maryland,Baltimore–Washington International Airport,29.2 in (74 cm),All-time,[120][142]
8,New Jersey,Atlantic City,10.1 in (26 cm),Daily (January 23),[183]
9,New York,Central Park,27.5 in (70 cm),All-time,[141]
10,New York,Islip,23.4 in (59 cm),Daily (January 23),[183]
11,New York,John F. Kennedy International Airport,30.5 in (77 cm),All-time,[120][142]
12,New York,LaGuardia Airport,27.9 in (71 cm),All-time,[120][142]
13,North Carolina,Asheville,10.6 in (27 cm),Daily (January 22),[183]
14,North Carolina,Raleigh–Durham International Airport,1.2 in (3.0 cm),Daily (January 22),[183]
15,Pennsylvania,Allentown,31.9 in (81 cm),All-time,[142]
16,Pennsylvania,Harrisburg,30.2 in (77 cm),All-time,[120][142]
17,Pennsylvania,Philadelphia International Airport,19.4 in (49 cm),Daily (January 23),[183]
18,Tennessee,Nashville,8.0 in (20 cm),Daily (January 22),[183]
19,Virginia,Norfolk,1.2 in (3.0 cm),Daily (January 23),[183]
20,Virginia,Richmond,5.3 in (13 cm),Daily (January 23),[183]
21,Virginia,Ronald Reagan Washington National Airport,11.3 in (29 cm),Daily (January 23),[183]
22,Virginia,Washington Dulles International Airport,22.1 in (56 cm),Daily (January 23),[183]
23,Virginia,Wallops Island,1.0 in (2.5 cm),Daily (January 23),[183]
