index,sentences
0,"The Kincade Fire was a wildfire that burned in Sonoma County, California in the United States."
1,"The fire started northeast of Geyserville in The Geysers at 9:24 p.m. on October 23, 2019, and subsequently burned 77,758 acres(31,468 ha) until the fire was fully contained on November 6, 2019."
2,"The fire threatened over 90,000 structures and caused widespread evacuations throughout Sonoma County, including the communities of Geyserville, Healdsburg, Windsor, and Santa Rosa."
3,The majority of Sonoma County and parts of Lake County were under evacuation warnings and orders.
4,Lake county only had one evacuation order and that was the town of Middletown.
5,"The fire was the largest of the 2019 California wildfire season, and also the largest wildfire recorded in Sonoma County at the time before being surpassed by the LNU Lightning Complex fires in 2020."
6,"-Progression-
The Kincade Fire was reported burning at John Kincade Road and Burned Mountain Road in The Geysers, northeast of Geyserville, California, at 9:57 PM on October 23, 2019."
7,The fire started at 9:24 PM during an extreme wind event.
8,"-Cause-
A compulsory report shows that the fire started when a 230,000 volt transmission line failed near the point of origin, just as power was about to be shut off in the area."
9,"On October 26, PG&E began shutting off power in an attempt to prevent additional fires, leaving an estimated three million people without power."
10,"On October 28, the California Public Utilities Commission announced an investigation into the shutoffs."
11,"""Despite the latest shutdowns, PG&E admitted last week that its equipment may have started the Kincade fire,"" said the San Jose Mercury News in an editorial condemning the utility's practices and calling for regulatory action."
12,"A San Francisco Chronicle editorial also called for the California Public Utilities Commission to ""give PG&E the kind of serious regulatory attention it should have been subject to many years ago."""
13,"and noted that while California governor Gavin Newsom expressed an interest in a Berkshire Hathaway takeover of the utility, ""[a]nyone who would bid for PG&E would also be bidding for all of its liabilities -- from the bankruptcy proceedings to fire victim claims to safety improvement bills... ""
-Effects-
The fire ""chewed through more than 100 sq mi(260 km2) and destroyed or damaged over 120 buildings."""
14,"Eighty thousand more structures were threatened by the fire, and PG&E said it had cut off power to more than a million customers."
15,"According to the Federal Communications Commission, hundreds of cell phone towers were down because of power shutoffs."
16,The Soda Rock Winery in Healdsburg was destroyed and the Field Stone Vineyard was heavily damaged.
17,"--Closures and evacuations--
On October 26, compulsory evacuations had been issued for 90,000 people."
18,"As the fire spread, by October 27, evacuation orders and warnings grew to encompass nearly all of Sonoma County, including about 190,000 people, making it the largest evacuation ever in Sonoma County."
19,Many people were forced to flee in the darkness due to ongoing power shutoffs in the region.
20,"From an analysis of the historical GPS data, it was predicted that 35% of householders evacuated while the remaining decided to stay and defend their property."
21,These results are comparable with the evacuation percentages observed in the previous wildfire affecting the same area: the 2017 Tubbs Fire.
22,"On the other hand, find from a questionnaire study indicate that 79% of householders decided to evacuate."
23,"Finally, traffic data indicate that the traffic slow down during the evacuation stage which might indicate congestions in some areas."
24,"The Sonoma County government, in conjunction with Esri, published an interactive map containing incidents and evacuation zones associated with the fires."
25,"Sonoma–Marin Area Rail Transit commuter rail offered free service between October 30 and November 6 initially as far north as Downtown Santa Rosa, then eventually on the whole line for those needing transportation alternatives."
26,"--Utilities--
In the early weeks of the fire, PG&E initiated a massive power shut-off to nearly 940,000 customers by October 26, with a projected total number of customers impacted to be close to 2.5 to 2.8 million."
27,There were to be six phases of power shutoff between October 26 and 27.
28,"The outages did not go over well. """
29,"The issue isn't even all of the power shutoffs,"" said Mendocino County chief executive Carmel Angelo. """
30,"It's the lack of communication."""
31,"-Fire growth and containment progress-
-Cause of the fire-
Initially, it was unknown whether or not PG&E was at fault for the fire."
32,"In a filing with the Securities and Exchange Commission(SEC), PG&E estimated a minimum loss of $600 million before available insurance."
33,"On July 16, 2020, which was after PG&E exited bankruptcy, Cal Fire reported that the fire was caused by PG&E transmission lines."
34,"Cal Fire did not make the report public, but forwarded the investigation report to the Sonoma County District Attorney's Office for further investigation."
35,Wildfire victims filed a civil lawsuit for damages caused by the fire.
36,Damages would not be covered by the settlement for wildfire victims that was part of the PG&E bankruptcy.
