index,sentences
0,"This is a partial list of temperature phenomena that have been labeled as heat waves, listed in order of occurrence."
1,"-Before 20th century-
1540 European drought - Extreme drought and heatwave lasting 11 months in Europe."
2,"July 1743 heatwave in China - Beijing reached 44.4 °C(111.9 °F) on July 25, higher than any modern records."
3,"11,400 people reportedly died."
4,"July 1757 heatwave – Europe, hottest summer in Europe since 1540 and until 2003."
5,"1808 United Kingdom heat wave
1881 North American heat wave
1896 Eastern North America heat wave – killed 1,500 people in August 1896."
6,"1900 – historical heatwave of the center of Argentina between the first eight days of February 1900 known as ""the week of fire"" affected the cities of Buenos Aires and Rosario with temperatures of up to 37 °C(99 °F) but with a very high index of humidity that elevated the sensation of heat to 49 °C(120 °F) severely affecting the health of people and causing at least 478 fatalities."
7,"-20th century-
1901 – 1901 eastern United States heat wave killed 9,500 in the Eastern United States."
8,1906 – during the 1906 United Kingdom heat wave which began in August and lasted into September broke numerous records.
9,"On September 2 temperatures reached 35.6 °C(96.1 °F), which still holds the September record, however some places beat their local record during September 1911 and September 2016."
10,"1911 – 1911 Eastern North America heat wave killed between 380 and 2,000 people."
11,1911 – 1911 United Kingdom heat wave was one of the most severe periods of heat to hit the country with temperatures around 36 °C(97 °F).
12,The heat began in early July and didn't let up until mid-September where even in September temperatures were still up to 33 °C(91 °F).
13,It took 79 years for temperature higher to be recorded in the United Kingdom during 1990 United Kingdom heat wave.
14,"1911 – 41,072 deaths were reported during a heat wave in France."
15,"1913 – in July, the hottest heat wave ever struck California."
16,"During this heat wave, Death Valley recorded a record high temperature of 57 °C(134 °F) at Furnace Creek, which still remains the highest ambient air temperature recorded on Earth."
17,"1921 – Hottest July on record across Eastern Canada and parts of the Northeastern US, part of a very warm year in those places."
18,"Parts of the United Kingdom also saw recording breaking heat, also part of a very warm year."
19,"The Central England Temperature for July was 18.5 °C(65.3 °F), which was the 8th warmest since records began in 1659, and the warmest since 1852."
20,The year of 1921 was the warmest on record at the time but has since been eclipsed by 15 other years.
21,"1923–1924 – during a period of 160 such days from 31 October 1923 to 7 April 1924, the Western Australian town of Marble Bar reached 38 °C(100 °F)."
22,"1930s – Almost every year from 1930 to 1938 featured historic heat waves and droughts somewhere in North America, part of the Dust Bowl years."
23,"1936 – 1936 North American heat wave during the Dust Bowl, followed one of the coldest winters on record—the 1936 North American cold wave."
24,"Massive heat waves across North America were persistent in the 1930s, many mid-Atlantic/Ohio valley states recorded their highest temperatures during July 1934."
25,"The longest continuous string of 38 °C(100 °F) or higher temperatures was reached for 101 days in Yuma, Arizona during 1937 and the highest temperatures ever reached in Canada were recorded in two locations in Saskatchewan in July 1937."
26,"1947 – record breaking temperature of 37.6 °C(99.7 °F) in Paris recorded on June 26, 1947."
27,1950s – Prolonged severe drought and heat wave occurred in the early 1950s throughout the central and southern United States.
28,Every year from 1952 to 1955 featured major heat waves across North America.
29,In some areas it was drier than during the Dust Bowl and the heat wave in most areas was within the top five on record.
30,The heat was particularly severe in 1954 with 22 days of temperatures exceeding 38 °C(100 °F) covering significant parts of eleven states.
31,"On 14 July, the thermometer reached 47 °C(117 °F) at East St. Louis, Illinois, which remains the record highest temperature for that state."
32,October 1952 – Romania was hit by very hot weather.
33,"Temperatures reached 39.0 °C(102.2 °F) on 2 October, with Bucharest reaching 35.2 °C(95.4 °F)."
34,Temperatures on the night of 2–3 October were also just under 26 °C(79 °F).
35,1955 – 1955 United Kingdom heat wave was a period of hot weather that was accompanied by drought.
36,"In some places it was the worst drought on record, more severe than 1976 and 1995."
37,"1960 – on 2 January, Oodnadatta, South Australia hit 50.7 °C(123.3 °F) degrees, the highest temperature ever recorded in the Southern Hemisphere and Oceania."
38,1972 – heat waves of 1972 in New York and Northeastern United States were significant.
39,"Almost 900 people died; the heat conditions lasted almost 16 days, aggravated by very high humidity levels."
40,"1976 – 1976 United Kingdom heat wave was one of the hottest in living memory, with temperatures exceeding 32 °C(90 °F) somewhere in the country for over two consecutive weeks."
41,"The heatwave was also accompanied by one of the worst droughts in British history, and reservoirs reached historic low levels during the heat wave that would not be seen again until the heat waves of the 21st century."
42,"The maximum recorded temperature of the heat wave, 35.9 °C(96.6 °F) at Cheltenham, Gloucestershire was at the time the third highest reliably recorded temperature in British history, with only the 1911 heat wave achieving higher reliably recorded temperatures."
43,"1980 – estimated 1,000 people died in the 1980 United States heat wave and drought, which impacted the central and eastern United States."
44,Temperatures were highest in the southern plains.
45,"From June through September, temperatures remained above 32 °C(90 °F) all but two days in Kansas City, Missouri."
46,"The Dallas/Fort Worth area experienced 42 consecutive days with high temperatures above 38 °C(100 °F), with temperatures reaching 47 °C(117 °F) at Wichita Falls, Texas, on 28 June."
47,Economic losses were $20 billion(1980 dollars).
48,1981 – August 1981 heat wave in the Pacific Northwest.
49,"1983 – during the Summer of 1983 temperatures over 38 °C(100 °F) were common across Iowa, Missouri, Illinois, Michigan, Wisconsin, Indiana, Ohio, Minnesota, Kansas, Nebraska, and certain parts of Kentucky; the summer of 1983 remains one of the hottest summers ever recorded in many of the states affected."
50,The hundred-degree readings were accompanied by very dry conditions associated with drought affecting the Corn Belt States and Upper Midwest.
51,The heat also affected the Southeastern U.S. and the Mid-Atlantic states as well that same summer.
52,New York Times represented articles about the heat waves of 1983 affecting the central United States.
53,This heat wave was associated with the I-94 derecho.
54,1983 – United Kingdom experienced a heatwave during July 1983.
55,This was the hottest month ever recorded until it was beaten in August 1995.
56,"1987 – prolonged heat wave from 20 to 31 July in Greece, with more than 1,000 deaths in the area of Athens."
57,"The maximum temperature measured was 41.9 °C(107.4 °F) at 23 July at the center of Athens and in the suburb of Nea Philadelphia, 8 kilometres(5.0 mi) northeast was 43.6 °C(110.5 °F) on 27 July, and were combined with high minima, with the highest being 30.2 °C(86.4 °F) in the center of Athens at 27 July and 29.9 °C(85.8 °F) at 24 July at Nea Philadelfia."
58,The lowest minimum was 25.6 °C(78.1 °F) at the center of Athens.
59,"Moreover, humidity was high and wind speeds low, contributing to human discomfort, even during the night."
60,"1988 – intense heat spells in combination with the drought of 1988, reminiscent of the dust bowl years caused deadly results across the United States."
61,"Official estimates report that 5,000 to 10,000 people died because of constant heat across the United States."
62,"Some estimates put total deaths at close to 17,000."
63,1990 – cities across the United Kingdom broke their all-time temperature records in the dramatic 1990 United Kingdom heat wave.
64,"Temperatures peaked at 37.1 °C(98.8 °F) at Cheltenham, Gloucestershire."
65,This led to one of the hottest Augusts on record going back to 1659.
66,"Also in France a several day heat wave is reported(France-Soir, 4 September 1990) with temperatures exceeding 40 degrees Celsius."
67,"1994 - Intense heat wave in Poland between July and August, with maximum temperature 39,5 degrees of Celsius."
68,This heat caused 1076 additional deaths in 10 largest Polish cities.
69,"1995- During the first week of February 1995,in California, including  Los Angeles, experienced a record-breaking heat wave, and on February 20, 1995 was 95 °F in Los Angeles on Presidents Day heat wave."
70,1995 – 1995 Chicago heat wave produced record high dew point levels and heat indices in the Chicago area and Wisconsin; temperatures reached as high as 41 °C(106 °F).
71,"The lack of emergency cooling facilities and inadequate response from civic authorities to the senior population, particularly in lower income neighborhoods in Chicago and other Midwestern cities, lead to at least 778 deaths—mostly which were African American Chicagoans."
72,A series of damaging derechos occurred on the periphery of the hot air dome.
73,1995 – United Kingdom experienced its 3rd hottest summer since at least 1659.
74,August was the hottest on record since 1659 and also the hottest month ever recorded until July 2006.
75,The summer was also the driest on record since at least 1766.
76,"Temperatures peaked at 35.2 °C(95.4 °F) on 1 August at Boxworth, Cambridgeshire, which did not break the all-time record."
77,"1996- During the first week of February 1996, in California, including Los Angeles, experienced a record-breaking heat wave was 90 °F on Feb 7, 1996."
78,1997 – United Kingdom experienced its 3rd major heatwave in 7 years with August 1997 being one of the hottest on record.
79,1999 – heat wave and drought in the eastern United States during the summer of 1999.
80,"Rainfall shortages resulted in worst drought on record for Maryland, Delaware, New Jersey, and Rhode Island."
81,The state of West Virginia was declared a disaster area.
82,"3.81 million acres(15,400 km2) were consumed by fire as of mid-August."
83,Record heat throughout the country resulted in 502 deaths nationwide.
84,There were many deaths in urban centers of the Midwest.
85,"2000 – in late Summer 2000, a heat wave occurred in the southern United States, breaking many cities' all-time maximum temperature records."
86,"-21st century-
--2001–2009--
In early August 2001 an intense heatwave hit the eastern seaboard of the United States and neighboring southeastern Canada."
87,"For over a week, temperatures climbed above 35 °C(95 °F) combined with stifling high humidity."
88,"Newark, New Jersey, tied its all-time record high temperature of 41 °C(106 °F) with a heat index of over 50 °C(122 °F)."
89,In April 2002 a summer-like heat wave in spring affected much of the Eastern United States.
90,In July 2002 a heatwave in China killed at least 7 people and resulted in hospitalization of over 3500 people.
91,"During April 2003 there was a summer-like heatwave that affected the United Kingdom, mainly England and Wales, where temperature records were broken."
92,"The European heat wave of 2003 affected much of western Europe, breaking temperature records."
93,"Much of the heat was concentrated in Spain, England and in France where nearly 15,000 people died."
94,"In Portugal, the temperatures reached as high as 47 °C(117 °F) in the south."
95,"The European heat wave of 2006 was the second massive heat wave to hit the continent in four years, with temperatures rising to 36.7 °C(98.1 °F) in Paris; in Ireland, which has a moderate maritime climate, temperatures of over 32 °C(90 °F) were reported."
96,"Temperatures of 35 °C(95 °F) were reached in the Benelux and Germany(in some areas 38 °C(100 °F)), while Great Britain recorded 36.5 °C(97.7 °F)."
97,Many heat records were broken(including the hottest ever July temperature in Great Britain) and many people who experienced the heat waves of 1976 and 2003 drew comparisons with them.
98,"The highest average July temperatures were recorded at many locations in Great Britain, Netherlands, Denmark, Sweden and Germany, and in the UK, July 2006 was the hottest month ever recorded and remains so today, even though the all-time temperature records of August 1990 and August 2003 were not reached."
99,The 2006 North American heat wave affected a wide area of the United States and parts of neighboring Canada during July and August 2006.
100,Over 220 deaths were reported.
101,Temperatures in some parts of South Dakota exceeded 46 °C(115 °F).
