,0,1
0,Storm Alex making landfall in Brittany at peak intensity on 2 October,Storm Alex making landfall in Brittany at peak intensity on 2 October
1,,
2,,
3,Type,Extratropical cyclone European windstorm
4,Formed,30 September 2020
5,Dissipated,3 October 2020
6,,
7,,
8,Highest gust,"187 km/h (116 mph) at Belle-Île, France"
9,Lowest pressure,969 mb (28.61 inHg)
10,,
11,,
12,Fatalities,16 fatalities
13,Power outages,115000
14,Areas affected,"United Kingdom, Spain, Portugal, France, Italy, Austria, Poland, Czech Republic"
15,Part of the 2020–21 European windstorm season,Part of the 2020–21 European windstorm season
