,EF#,Location,County / Parish,State,Start Coord.,Time (UTC),Path length,Max width,Summary
0,EF2,WNW of Bunkie,Avoyelles,LA,30°56′54″N 92°15′07″W﻿ / ﻿30.9483°N 92.2519°W,06:08–06:14,3.62 mi (5.83 km),100 yd (91 m),Substantial damage was inflicted to hangars and aircraft at the Bunkie Airport. Trees were damaged as well.[53]
1,EF1,NE of Evergreen,Avoyelles,LA,30°58′04″N 92°06′04″W﻿ / ﻿30.9677°N 92.1011°W,06:20–06:23,1.13 mi (1.82 km),100 yd (91 m),Homes and outbuildings were damaged.[54]
2,EF1,S of Eunice,Acadia,LA,30°23′59″N 92°26′30″W﻿ / ﻿30.3997°N 92.4418°W,06:51–07:01,9.53 mi (15.34 km),150 yd (140 m),"Trees, power lines, and a large shed were damaged.[55]"
3,EF0,NNE of Florence to SE of Brandon,Rankin,MS,32°10′28″N 90°06′49″W﻿ / ﻿32.1744°N 90.1136°W,06:57–07:17,11.43 mi (18.39 km),"1,230 yd (1,120 m)",Numerous trees were snapped or uprooted.[56]
4,EF2,NE of Liberty to N of McComb,"Amite, Pike",MS,31°12′17″N 90°44′36″W﻿ / ﻿31.2047°N 90.7432°W,08:07–08:28,18.3 mi (29.5 km),"1,760 yd (1,610 m)","A house had most of its roof torn off, and a large metal building was destroyed by this large, strong tornado. Numerous trees were snapped or uprooted along the path.[57]"
5,EF0,NE of Salem,Marion,MS,31°19′05″N 90°02′13″W﻿ / ﻿31.318°N 90.037°W,08:57–09:04,6.49 mi (10.44 km),200 yd (180 m),"Several trees were snapped or uprooted, including several that fell on a home.[58]"
6,EF2,ENE of Soso to W of Eucutta,Jones,MS,31°45′39″N 89°13′29″W﻿ / ﻿31.7608°N 89.2247°W,09:14–09:30,16.85 mi (27.12 km),"2,640 yd (2,410 m)","A 1.5-mile (2.4 km) wide tornado developed just east of the path of an EF4 tornado 11 days prior. Moving north of Laurel, the tornado completely destroyed half of a chicken house and mowed down hundreds of trees, many of which fell on homes and caused severe damage. Numerous power lines were downed as well.[59]"
7,EF1,NW of Waynesboro,Wayne,MS,31°48′42″N 88°52′42″W﻿ / ﻿31.8116°N 88.8782°W,09:33–09:35,1.8 mi (2.9 km),350 yd (320 m),Damage was confined to trees that were snapped or uprooted.[60]
8,EF1,N of Lucedale,George,MS,30°56′06″N 88°37′15″W﻿ / ﻿30.9349°N 88.6208°W,11:17–11:19,2.26 mi (3.64 km),200 yd (180 m),"A few homes sustained minor roof damage. Otherwise, additional homes were damaged by some trees that were snapped or uprooted.[61]"
9,EF1,ENE of Lucedale,George,MS,30°56′17″N 88°31′10″W﻿ / ﻿30.9381°N 88.5195°W,11:23–11:24,0.38 mi (0.61 km),50 yd (46 m),"The roof of a mobile home was ripped off, causing its walls to collapse. Several trees were snapped or uprooted.[62]"
10,EF1,E of Lucedale,George,MS,30°55′56″N 88°31′27″W﻿ / ﻿30.9322°N 88.5243°W,11:24–11:25,1.45 mi (2.33 km),250 yd (230 m),"Numerous trees were snapped or uprooted, some of which were downed onto homes. A few houses and a church sustained roof and shingle damage. A travel trailer was flipped, injuring one person.[63]"
11,EF1,NW of Chunchula,Mobile,AL,30°57′51″N 88°18′32″W﻿ / ﻿30.9642°N 88.3089°W,11:37–11:38,0.55 mi (0.89 km),75 yd (69 m),"A tornado primarily damaged trees, but one fallen tree caused significant damage to a home. Another house had its garage door blown in, and a shed was heavily damaged.[64]"
