,F#,Location,County,Time (UTC),Path length,Damage,Unnamed: 6
0,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas
1,F0,NE of Marion,Marion,1948,0.1 miles,Brief tornado with no damage.[1][3],
2,F0,E of Eastshore to NW of Lost Springs,Marion,1948,13 miles,Landspout tornado remained over open country with no damage reported.[1][3],
3,F0,E of Antelope,Marion,1950,2 miles,Landspout tornado damaged outbuildings.[1][3],
4,F0,NE of Lincolnville,Marion,2004,0.1 miles,Brief tornado with no damage.[1][3],
5,F0,W of Burdick,Morris,2005,0.3 miles,Brief tornado that caused no damage.[1][3],
6,F1,Delavan to S of Wreford,"Morris, Geary",2012,20 miles,"Damage occurred on several farmsteads, where several outbuildings were damaged or destroyed. Roofing material from one building was stuck in a fence a mile away to the north. The tornado also struck the Geary State Fishing Lake and Wildlife Area before dissipating.[1][3]",
7,F0,E of Pearl,Dicksinson,2032,1.5 miles,Brief tornado with no damage.[1][3],
8,F0,W of Wilsey,Morris,2032,6 miles,Brief tornado with no damage.[1][3],
9,F0,SW of Hartford,Lyon,2035,1 mile,Caused minor damage to outbuildings on three farmsteads and several other outbuildings along its path. The parent thunderstorm was a mini-supercell within a bow echo.[1][3],
10,F0,NE of Cherryvale,Montgomery,2048,0.1 miles,Brief touchdown with no damage.[1][3],
11,F0,WSW of Dwight,Morris,2058,0.3 miles,Brief touchdown with no damage.[1][3],
12,F1,Southern Fort Riley to W of Ogden,"Geary, Riley",2209,2 miles,"At Fort Riley, 32 homes sustained minor damage at the housing area. Trees, cars, and a cemetery were damaged as well.[1][3]",
13,F0,SE of Junction City,Geary,2215,0.3 miles,Brief touchdown with no damage.[1][3],
14,F0,E of Grandview Plaza,Geary,2221,2 miles,"Caused minor damage to a hay barn, and also destroyed an indoor horse riding barn. Pieces of the barn landed a half mile away. Authorities also had to close Interstate 70 for a short time until the tornado had passed.[1][3]",
15,F0,Western Keats,Riley,2228,0.3 miles,"Tornado briefly touched down on the west-southwest side of town, causing minor tree damage.[1][3]",
16,F0,E of Riley,Riley,2132,0.3 miles,Tornado damaged a barn.[1][3],
17,F0,E of Winkler,Riley,2149,0.3 miles,Minor tree damage occurred.[1][3],
18,F1,ENE of Erie to WSW of Stark,Neosho,2206,6 miles,"At the beginning of its path, the tornado produced F1 damage to homes, outbuildings and trees. Thereafter, the tornado weakened, and produced F0 damage before dissipating.[1][3]",
19,F0,SE of Elsmore,Allen,2222,0.2 miles,Brief tornado with no damage.[1][3],
20,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri
21,F0,N of Dudenville,Jasper,2319,0 miles,Extremely brief tornado with no damage.[1][3],
22,F1,ENE of Pratherville to NE of Lawson,"Clay, Ray",2344,11 miles,"The tornado hit the west side of Excelsior Springs, a manufacturing plant suffered wall damage and there was a partial roof collapse. The plant's conveyor line was also damaged. Windows were blown out at a car dealership and trees were damaged as well.[1][3]",
23,F1,Lawson,Ray,2359,2 miles,"A second tornado struck shortly Lawson shortly after the first. Multiple homes, a barn, and trees were damaged just north of town.[1][3]",
24,F1,"N of Vidette, AR",Ozark,0042,1 mile,Damage was limited to trees.[1][3],
25,F1,Bakersfield,Howell,0046,3 miles,"Damage was mostly limited to trees, although two people were injured.[1][3]",
26,F1,E of Pottersville,Howell,0056,5 miles,A frame house and a mobile home were heavily damaged. Two people were injured.[1][3],
27,F2,SSW of Gatewood to NW of Briar,Ripley,0430,12 miles,"1 death - A two-story house was destroyed, resulting in a fatality. Two mobile homes were unroofed and many trees were snapped and uprooted.[1][3]",
28,F0,Northwestern Maplewood,St. Louis,0505,0.5 miles,"Tornado downed a utility pole, damaged the roof of a restaurant, and tore an air conditioning unit off of another restaurant. Cars were moved and a tractor-trailer was flipped. Windows were blown out at a Walmart as well.[1][3]",
29,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
30,F1,S of Bluffton to SW of Briggsville,Yell,2140,4.5 miles,"Trees were snapped and uprooted, and power lines were downed.[1][3]",
31,F0,SSW of Danville,Yell,2157,2.7 miles,"Tornado downed trees and power lines, and tore tin roofing from a chicken house.[1][3]",
32,F1,S of Kirby to E of Glenwood,Pike,2225,13.8 miles,"Tornado removed the roof of a barn, and damaged or destroyed several chicken houses. A roof was also partially removed from a mobile home. Numerous trees were downed as well. One person was injured.[1][3]",
33,F1,E of Glenwood to N of Welsh,Montgomery,2242,3.2 miles,Damage was limited to trees.[1][3],
34,F1,WNW of Bonnerdale to E of Mazarn,Montgomery,2249,4.5 miles,Tornado downed trees and power lines.[1][3],
35,F1,E of Alamo to SSW of Crystal Springs,Garland,2256,3.5 miles,Tornado caused mostly tree and power line damage and also destroyed a hay barn.[1][3],
36,F1,N of Bear,Garland,2310,1.2 miles,"Tornado snapped trees, and damaged docks and boats at Lake Ouachita.[1][3]",
37,F2,SE of Bonnerdale to SW of Pearcy,Hot Spring,2320,4.2 miles,A tornado caused mainly tree and power line damage.[1][3],
