,sentences
0,Tropical Depression Eight caused severe flooding in southeastern Texas in late August 1981.
1,"The twelfth tropical cyclone of the annual hurricane season, the depression developed from a tropical disturbance over the Bay of Campeche on August 26."
2,"Moving northwestward, the cyclone failed to intensify into a tropical storm before making landfall in the Mexican state of Tamaulipas to the north of Tampico on August 28, with winds of 35 mph(55 km/h)."
3,"After moving inland, the depression curved north-northwestward before degenerating into a surface low pressure area near the Mexico–United States border on August 29."
4,The remnants moved eastward across Texas and entered Louisiana before dissipating on September 1.
5,The system was a surface low upon reaching Texas.
6,"A large thunderstorm complex developed near its center on August 29 and resulted in heavy rainfall across southeastern Texas, with a peak total of 21 in(530 mm) in Pine Springs, with much of that falling in only about six hours."
7,One of the hardest hit areas was Lavaca County.
8,"At least 15 streets in downtown Hallettsville were flooded, damaging hundreds of cars, 150 to 200 homes, 75 businesses, and a few local government buildings."
9,Five people were killed by floodwaters in Shiner.
10,"Throughout Lavaca County, more than 286 homes were damaged or destroyed, 17 bridges and several roads were washed out, and hundreds of head of cattle were drowned."
11,"The depression spawned 14 tornadoes, one of which caused extensive damage in the area."
12,"Overall, the depression left five fatalities and more than $56.2 million(1981 USD) in damage."
13,"-Meteorological history-
In late August, a tropical disturbance, which was a portion of the same system that spawned Tropical Storm Irwin in the Pacific Ocean, reached the Bay of Campeche."
14,"At 18:00 UTC on August 26, the disturbance developed into a tropical depression about 140 mi(230 km) west of the Yucatán Peninsula."
15,"The cyclone moved northwestward and strengthened slightly to peak with maximum sustained winds of 35 mph(55 km/h) and a minimum barometric pressure of 1,004 mbar(29.6 inHg) at 12:00 UTC on August 27."
16,"The National Hurricane Center did not initiate advisories on Tropical Depression Eight until 22:00 UTC on August 28, after satellite imagery and reconnaissance aircraft confirmed that the system was a tropical depression."
17,"Shortly after 06:00 UTC on August 29, the depression made landfall in Tamaulipas about 45 mi(70 km) north of Tampico."
18,"About six hours later, the cyclone degenerated into a weak surface low pressure area just south of the Rio Grande."
19,The low entered Texas on August 30 and moved northeastward and then east-northeastward due to an upper-level trough.
20,"While crossing the far eastern side of the state, the remnant low resumed its northeastward motion before entering Louisiana and dissipating on September 1."
21,"-Preparations-
In the Gulf of Mexico, non-essential workers at the oil rigs were evacuated, including about 40 employees of Shell Oil Company alone, as oil companies monitored the progress of the cyclone."
22,"As the depression approached landfall in Mexico, the National Hurricane Center warned about the possibility of flash flooding and tides ranging from 2 to 3 ft(0.61 to 0.91 m) above normal along the southern Texas coast, and advised small craft to remain in port."
23,Several flood and flash flood warnings were issued throughout eastern Texas as the depression moved eastward and dropped heavy rainfall.
24,"-Impact-
The depression spawned 14 tornadoes in Texas, most of which caused little to no damage."
25,"In Aransas Pass, a waterspout spawned over Redfish Bay moved ashore and destroyed a mobile home, deroofed a fishing lodge, and toppled electrical poles and power lines before lifting."
26,"In Live Oak County near Three Rivers, a tornado crossed a uranium mining business headquarters, extensively damaging a warehouse and an office."
27,A few people received minor injuries.
28,"In a rural area of Bee County, a tornado demolished a mobile homes and a barn, unroofed another home, and downed several electrical poles."
29,"A tornado in Galveston shattered several windows, damaged some planes, and deroofed a few hangars at the Scholes International Airport, where the tornado produced a wind gust of 92 mph(148 km/h)."
30,"The twister also severed a major power line; extensively damaged a fire station and a warehouse; and damaged or deroofed several homes and buildings, including at the Strand Historic District."
31,"Before lifting, the tornado tossed several 18-wheel trucks and damaged a pier at the Port of Galveston after a 450 ft(140 m) freighter broke loose."
32,"After entering Texas, a large thunderstorm complex developed near the center of the system on August 29."
