index,0,1
0,Tropical Depression Eight over Mexico and Texas on August 29,Tropical Depression Eight over Mexico and Texas on August 29
1,Meteorological history,Meteorological history
2,Formed,"August 26, 1981"
3,Dissipated,"August 29, 1981"
4,Tropical depression,Tropical depression
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,35 mph (55 km/h)
7,Lowest pressure,1004 mbar (hPa); 29.65 inHg
8,Overall effects,Overall effects
9,Fatalities,5
10,Damage,$56.2 million (1981 USD)
11,Areas affected,"Mexico, Southern United States"
12,IBTrACS,IBTrACS
13,Part of the 1981 Atlantic hurricane season,Part of the 1981 Atlantic hurricane season
