index,0,1
0,"Tropical Depression One on May 30, 1988","Tropical Depression One on May 30, 1988"
1,Meteorological history,Meteorological history
2,Formed,"May 31, 1988"
3,Dissipated,"June 2, 1988"
4,Tropical depression,Tropical depression
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,30 mph (45 km/h)
7,Lowest pressure,1002 mbar (hPa); 29.59 inHg
8,Overall effects,Overall effects
9,Fatalities,37
10,Areas affected,"Cuba, Florida"
11,IBTrACS,IBTrACS
12,Part of the 1988 Atlantic hurricane season,Part of the 1988 Atlantic hurricane season
