,sentences
0,Tropical Storm Abby was an exceptionally small tropical cyclone that had minor effects across Southeast Texas in early August 1964.
1,"Forming as a tropical depression out of a trough south of Louisiana on August 5, the system moved generally westward."
2,It was not until August 7 that the system began to organize.
3,"That day, an eye rapidly formed within the system and it became a tropical storm just 60 mi(95 km) southeast of Galveston, Texas."
4,"Soon thereafter, a weather reconnaissance plane reported a barometric pressure of 1000 mbar(hPa; 29.53 inHg) at the storm's center."
5,"Around 18:00 UTC(1:00 p.m. CDT), the newly named Abby attained peak winds of 70 mph(115 km/h)."
6,"It subsequently made landfall near Matagorda, Texas four hours later."
7,"Once onshore gradual weakening ensued, though a brief period of re-organization delayed its dissipation."
8,"Abby degenerated into an area of showers on August 8 southwest of San Antonio, Texas."
9,"Prior to Abby's landfall in Texas, gale warnings were issued for the coast and residents on Matagorda Island were evacuated."
10,"Overall, the storm's impacts were limited due to its small size."
11,"Only two structures sustained damage in Matagorda, one being destroyed by a possible tornado, and the remaining effects resulted from flooding in Jackson and Victoria Counties."
12,"Total damage from the storm was estimated at $750,000 with the majority stemming from crops."
13,"-Meteorological history-
On August 5, 1964, a weak trough emerged from Florida over the northeastern Gulf of Mexico."
14,"According to the Atlantic hurricane database(referred to as HURDAT), the system developed into a tropical depression by 18:00 UTC(1:00 p.m. CDT) that day, with its center located roughly 160 mi(255 km) south-southeast of the Mississippi River Delta."
15,"Moving generally west, the system exhibited no signs of further development as it neared the Texas coastline."
16,"However, on August 7, radar images from Brownsville, Galveston, Lake Charles, and Victoria showed an abrupt increase in organization."
17,"During the afternoon hours, banding features consolidated around a developing eye and weather reconnaissance planes were dispatched to the system."
18,Forecasters initially mistook the eye as a hook echo-type feature at the end of a squall line.
19,"It is estimated that the depression became a tropical storm by 12:00 UTC(7:00 a.m. CDT), roughly 60 mi(95 km) southeast of Galveston, Texas."
20,"Operationally, the system was not even monitored as a depression this time, with the classification and naming of Tropical Storm Abby occurring at 16:00 UTC(11:00 a.m. CDT) on August 7."
21,"Abby was an unusually small storm, with its entire circulation being far less than 100 mi(160 km) in diameter."
22,"Around 16:00 UTC(11:00 a.m. CDT) on August 7, reconnaissance measured a central barometric pressure of 1000 mbar(hPa; 29.53 inHg) within Abby, the lowest in relation to the system."
23,"They also reported peak winds of 85 mph(135 km/h) in squalls, which would rank as a Category 1 hurricane on the modern-day Saffir–Simpson hurricane wind scale."
24,"These winds were seen to be an overestimate by forecasters and discarded, however."
25,"The system attained its maximum winds of 65 mph(105 km/h) by 18:00 UTC(1:00 p.m. CDT) and subsequently made landfall just northeast of Matagorda, Texas at 22:00 UTC(5:00 p.m. CDT)."
26,"Irvin Velbrecht, a forecaster at the Weather Bureau(now known as the National Weather Service) in Galveston, described the storm as a ""perfectly miniature hurricane."""
27,"Despite moving onshore, Abby's core continued to organize and it developed a closed eyewall roughly three hours later."
28,"Thereafter the storm began to gradually weaken, passing over Edna around 02:00 UTC on August 8(9:00 p.m. CDT on August 7)."
29,"Weakening to a depression hours later, Abby ultimately degenerated into an area of showers and dissipated southwest of San Antonio by 12:00 UTC(7:00 a.m. CDT)."
30,"-Preparations and impact-
Owing to the abrupt nature of Abby's development on August 7, residents had little time to prepare for the storm."
31,"According to Irvin Velbrecht, ""in the absence of aircraft reconnaissance and radar information, two reasonably new tools in storm detection, Abby could well have formed and approached the shore before knowledge of a tropical storm was gained."""
32,Gale warnings were raised from Galveston to San Antonio immediately following the storm's formation and were kept in place through the morning of August 8.
33,"Evacuation orders were issued for Matagorda Island and most complied, with some deciding to remain at their homes."
34,Personnel at Matagorda Island Air Force Base were evacuated to Victoria.
35,Red Cross facilities were readied and public shelters were opened in the area.
36,"At the mouth of the Colorado River, seagoing vessels were tied down with extra rope."
37,"Within the Weather Bureau, members of the Galveston office were the first to notice the system and relayed to the other offices in the area to attune their radars to follow the system."
38,Abby's small size resulted in its effects being limited to areas within the immediate track.
39,Sustained winds of 45 mph(70 km/h) with gusts to 65 mph(105 km/h) were measured by the Army Corps of Engineers in Matagorda.
40,"Near the town, a possible tornado unroofed a barn and tossed the structure 225 ft(69 m); this building previously had withstood the effects of Hurricane Carla in 1961."
41,Winds estimated at 50 mph(80 km/h) tore part of the roof off a fishing warehouse in Matagorda itself.
42,"Along the coast, tides ranged from 2 to 4 ft(0.61 to 1.22 m) above normal from Matagorda to Freeport."
43,Four men and five dogs required rescue after their vessel became stranded on the Colorado River.
44,Heavy rains accompanied the system across Texas.
45,"Most areas along the immediate track received at least 3 to 5 in(76 to 127 mm) of rain, with a peak value of 6.14 in(156 mm) recorded at the Victoria International Airport."
46,The hardest hit areas were in Jackson and Victoria counties where the heaviest rains fell.
47,"In these areas, flooding and strong winds damaged the cotton and rice crops; however, effects of the rice crop were more limited due to losses from earlier storms as well as ongoing harvesting."
48,"Some flooding also took place across the Atascosa River watershed, but no damage resulted."
49,"Overall, property damage was estimated at $150,000 while agricultural losses reached $600,000."
