index,0,1
0,Radar image of Abby roughly one hour before landfall on August 7,Radar image of Abby roughly one hour before landfall on August 7
1,Meteorological history,Meteorological history
2,Formed,"August 5, 1964"
3,Dissipated,"August 8, 1964"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,70 mph (110 km/h)
7,Lowest pressure,1000 mbar (hPa); 29.53 inHg
8,Overall effects,Overall effects
9,Fatalities,None reported
10,Damage,"$750,000 (1964 USD)"
11,Areas affected,Louisiana and Texas
12,IBTrACS,IBTrACS
13,Part of the 1964 Atlantic hurricane season,Part of the 1964 Atlantic hurricane season
