index,0,1
0,Severe Tropical Storm Ampil approaching the Ryukyu Islands on July 20,Severe Tropical Storm Ampil approaching the Ryukyu Islands on July 20
1,Meteorological history,Meteorological history
2,Formed,"July 17, 2018"
3,Dissipated,"July 26, 2018"
4,Severe tropical storm,Severe tropical storm
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,95 km/h (60 mph)
7,Lowest pressure,985 hPa (mbar); 29.09 inHg
8,Tropical storm,Tropical storm
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,100 km/h (65 mph)
11,Lowest pressure,982 hPa (mbar); 29.00 inHg
12,Overall effects,Overall effects
13,Fatalities,1 total
14,Damage,$246 million (2018 USD)
15,Areas affected,"Ryukyu Islands, East and Northeast China"
16,IBTrACS,IBTrACS
17,Part of the 2018 Pacific typhoon season,Part of the 2018 Pacific typhoon season
