index,0,1
0,Tropical Storm Cristobal shortly after peak intensity south of Nova Scotia on July 22,Tropical Storm Cristobal shortly after peak intensity south of Nova Scotia on July 22
1,Meteorological history,Meteorological history
2,Formed,"July 19, 2008"
3,Dissipated,"July 23, 2008"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,65 mph (100 km/h)
7,Lowest pressure,998 mbar (hPa); 29.47 inHg
8,Overall effects,Overall effects
9,Fatalities,None reported
10,Damage,"$10,000 (2008 USD)"
11,Areas affected,"Florida, The Carolinas, Atlantic Canada"
12,IBTrACS,IBTrACS
13,Part of the 2008 Atlantic hurricane season,Part of the 2008 Atlantic hurricane season
