,0,1
0,Tropical Storm Danielle off the coast of North Carolina on September 25,Tropical Storm Danielle off the coast of North Carolina on September 25
1,Meteorological history,Meteorological history
2,Formed,"September 22, 1992"
3,Dissipated,"September 26, 1992"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,65 mph (100 km/h)
7,Lowest pressure,1001 mbar (hPa); 29.56 inHg
8,Overall effects,Overall effects
9,Fatalities,2 direct
10,Areas affected,"North Carolina, Virginia, Maryland, Delaware, New Jersey, Pennsylvania"
11,IBTrACS,IBTrACS
12,Part of the 1992 Atlantic hurricane season,Part of the 1992 Atlantic hurricane season
