index,0,1
0,Satellite image of Delfina on January 1,Satellite image of Delfina on January 1
1,Meteorological history,Meteorological history
2,Formed,"December 30, 2002"
3,Dissipated,"January 1, 2003"
4,Severe tropical storm,Severe tropical storm
5,10-minute sustained (MFR),10-minute sustained (MFR)
6,Highest winds,95 km/h (60 mph)
7,Lowest pressure,984 hPa (mbar); 29.06 inHg
8,Tropical storm,Tropical storm
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,100 km/h (65 mph)
11,Lowest pressure,984 hPa (mbar); 29.06 inHg
12,Overall effects,Overall effects
13,Fatalities,54 direct
14,Damage,$3.5 million (2003 USD)
15,Areas affected,"Mozambique, Malawi"
16,IBTrACS,IBTrACS
17,Part of the 2002–03 South-West Indian Ocean cyclone season,Part of the 2002–03 South-West Indian Ocean cyclone season
