index,0,1
0,Satellite image of Doria east of Florida,Satellite image of Doria east of Florida
1,Meteorological history,Meteorological history
2,Formed,"August 20, 1971"
3,Dissipated,"August 29, 1971"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,65 mph (100 km/h)
7,Lowest pressure,989 mbar (hPa); 29.21 inHg
8,Overall effects,Overall effects
9,Fatalities,7 direct
10,Damage,$148 million (1971 USD)
11,Areas affected,"East Coast of the United States, Canada"
12,IBTrACS,IBTrACS
13,Part of the 1971 Atlantic hurricane season,Part of the 1971 Atlantic hurricane season
