,sentences
0,"Tropical Storm Dujuan, known in the Philippines as Severe Tropical Storm Auring, was a tropical storm which caused heavy rain in the Philippines and Palau, leading to minor damage."
1,Dujuan was the second depression and first named storm of the 2021 Pacific typhoon season.
2,Dujuan started as a tropical depression in the Philippine Sea which slowly tracked northwestward towards the Philippines.
3,Its strength fluctuated from February 19 to 21 due to an unfavorable environment near the storm at the time.
4,"The system was declared a tropical storm prior to its landfall in Batag Island, Laoang, Northern Samar on February 22."
5,Dujuan caused no casualties in Palau.
6,"In the Philippines, however, the storm caused 1 death and left 4 missing."
7,"The storm also caused a fishing vessel to capsize, leaving 15 Filipino fisherman adrift for six days before being rescued."
8,"Floodwater inundated houses in Surigao del Sur, submerging Tandag City along with 3,168 hectares of cropland."
9,Total damages in the Philippines amounted to at least $3.29 million(2021 USD).
10,"-Meteorological history-
On February 16 at 06:00 UTC, the Japan Meteorological Agency(JMA) reported that a tropical depression had developed over the Philippine Sea."
11,"Eight hours later, the JTWC issued a Tropical Cyclone Formation Alert(TCFA) on the system, while it was located roughly 15 miles(24 km) to the east of Babeldaob, Palau."
12,"The depression displayed convective banding features, wrapping into a disorganized low-level center of circulation."
13,"Within an area favorable for further development, with low to moderate vertical wind shear, strong poleward outflow, and 29–30 °C(84–86 °F) sea surface temperatures, the system began to intensify."
14,"By 3:00 UTC on February 17, the depression had entered the Philippine Area of Responsibility(PAR), and was given the name Auring by the PAGASA."
15,This made Dujuan the first named storm within the PAR in 2021.
16,"Three hours later, the JTWC upgraded the system to a tropical depression, giving it the designation 01W. As the system tracked to the west-northwest, it continued to strengthen until the early hours of February 18, when it was upgraded to a tropical storm by the JMA, JTWC, and the PAGASA, with the JMA giving it the name Dujuan."
17,"At 03:00 UTC on February 19, the PAGASA briefly upgraded Dujuan into a severe tropical storm, before downgrading it back."
18,"The next day, vertical wind shear in Dujuan's environment had decreased, allowing the storm to slightly re-strengthen."
19,"The vertical wind shear associated with the northeast monsoon still persisted, affecting the system, and on February 21, the JMA downgraded Dujuan to a tropical depression."
20,The JTWC and the PAGASA followed on the next day as the system's low-level circulation center(LLCC) had weakened prior to landfall.
21,The JMA and the JTWC issued their final advisories moments after.
22,"The storm made landfall over Batag Island in Laoang, Northern Samar at 09:00 PHT(01:00 UTC) on the same day."
23,"Prior to crossing the Rapu-Rapu Islands in Albay, the PAGASA declared the storm as a low-pressure area and issued their final bulletin on the storm."
24,Dujuan dissipated on February 23 at 06:00 UTC.
25,"-Preparations and impact-
Dujuan briefly moved over Palau on February 16 as a tropical depression, bringing heavy rainfall to parts of the country."
26,"On February 18, the boat of 15 Filipino fishermen capsized off the coast of Surigao, leaving the group adrift for six days until they were rescued by the Philippine Coast Guard."
27,"In anticipation of the storm, the PAGASA issued Signal #1 warnings for the eastern section of Mindanao on February 19, with the same warnings issued on the eastern provinces of Visayas."
28,"Signal 2 warnings were also issued in the majority of Eastern Samar, Samar, Southern Leyte, Dinagat Islands, and Surigao del Norte on February 21 as Dujuan re-intensified hours before landfall."
29,"The warnings were quickly lowered, however, just a few hours after being issued."
30,"Despite the lowered warnings, the storm was able to cause flooding in parts of Visayas."
31,"Before the storm's landfall, in Tandag City, Surigao del Sur, heavy rains had already caused houses to be submerged in floodwater."
32,"Classes and government work was suspended on February 22 in Romblon, Tacloban City, and Negros Oriental and in parts of Leyte, Cebu, Davao de Oro, and Surigao del Sur."
33,"A total of 280,881 individuals were affected in Northern Mindanao, Caraga, and in the Davao Region."
34,"At least 183,226 of the affected individuals were taken to 950 various evacuation shelters in each region."
35,"2,408 houses were damaged, with 444 houses becoming totally damaged."
36,Most of the damage occurred in the Caraga Administrative Region.
37,42 domestic flights and multiple sea trips were also cancelled due to the harsh weather.
38,"An analysis by the STAMINA4Space Program revealed that over 3,412 hectares of land had been inundated due to floods from Dujuan, with 92%(3,168 ha) of the land being cropland."
39,"The cropland only contained sparse vegetation at the time, however."
40,"In the Philippines, one person was reported dead with four others reported missing."
41,"Agricultural damages stood at ₱79.4 million while infrastructural damages stood at ₱23.6 million, for a total of ₱103 million(US$3.29 million)."
42,Aon estimates that total losses in the Philippines reached at least $10 million(2021 USD).
