,0,1
0,Dujuan at peak intensity over the Philippine Sea on February 19,Dujuan at peak intensity over the Philippine Sea on February 19
1,Meteorological history,Meteorological history
2,Formed,"February 16, 2021"
3,Dissipated,"February 23, 2021"
4,Tropical storm,Tropical storm
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,75 km/h (45 mph)
7,Lowest pressure,996 hPa (mbar); 29.41 inHg
8,Tropical storm,Tropical storm
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,85 km/h (50 mph)
11,Lowest pressure,991 hPa (mbar); 29.26 inHg
12,Overall effects,Overall effects
13,Fatalities,1
14,Missing,4
15,Damage,$3.29 million (2021 USD)
16,Areas affected,"Palau, Philippines"
17,IBTrACS,IBTrACS
18,Part of the 2021 Pacific typhoon season,Part of the 2021 Pacific typhoon season
