index,0,1
0,Tropical Storm Erika over the Leeward Islands on August 27,Tropical Storm Erika over the Leeward Islands on August 27
1,Meteorological history,Meteorological history
2,Formed,"August 24, 2015"
3,Dissipated,"August 28, 2015"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,50 mph (85 km/h)
7,Lowest pressure,1001 mbar (hPa); 29.56 inHg
8,Overall effects,Overall effects
9,Fatalities,35
10,Damage,$511 million (2015 USD)
11,Areas affected,"Antilles (particularly Dominica), The Bahamas, Florida"
12,IBTrACS,IBTrACS
13,Part of the 2015 Atlantic hurricane season,Part of the 2015 Atlantic hurricane season
