,0,1
0,Tropical Storm Fernand off the coast of Tamaulipas on September 3,Tropical Storm Fernand off the coast of Tamaulipas on September 3
1,Meteorological history,Meteorological history
2,Formed,"September 3, 2019"
3,Dissipated,"September 5, 2019"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,50 mph (85 km/h)
7,Lowest pressure,1000 mbar (hPa); 29.53 inHg
8,Overall effects,Overall effects
9,Fatalities,1 total
10,Damage,$43.7 million (2019 USD)
11,Areas affected,"Northern Mexico, South Texas"
12,IBTrACS,IBTrACS
13,Part of the 2019 Atlantic hurricane season,Part of the 2019 Atlantic hurricane season
