,0,1
0,Tropical storm Fran on September 18,Tropical storm Fran on September 18
1,Meteorological history,Meteorological history
2,Formed,"September 15, 1984"
3,Dissipated,"September 20, 1984"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,65 mph (100 km/h)
7,Lowest pressure,994 mbar (hPa); 29.35 inHg
8,Overall effects,Overall effects
9,Fatalities,29–32
10,Damage,$2.8 million (1984 USD)
11,Areas affected,Cape Verde Islands
12,IBTrACS,IBTrACS
13,Part of the 1984 Atlantic hurricane season,Part of the 1984 Atlantic hurricane season
