index,0,1
0,Tropical Storm Helene at peak intensity south of Newfoundland on September 25,Tropical Storm Helene at peak intensity south of Newfoundland on September 25
1,Meteorological history,Meteorological history
2,Formed,"September 15, 2000"
3,Dissipated,"September 25, 2000"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,70 mph (110 km/h)
7,Lowest pressure,986 mbar (hPa); 29.12 inHg
8,Overall effects,Overall effects
9,Fatalities,"1 direct, 1 indirect"
10,Damage,$16 million (2000 USD)
11,Areas affected,"Lesser Antilles, Puerto Rico, Hispaniola, Jamaica, Cuba, Isle of Youth, Eastern United States, Atlantic Canada"
12,IBTrACS,IBTrACS
13,Part of the 2000 Atlantic hurricane season,Part of the 2000 Atlantic hurricane season
