,0,1
0,Tropical Storm Hermine near landfall in northern Mexico on September 6,Tropical Storm Hermine near landfall in northern Mexico on September 6
1,Meteorological history,Meteorological history
2,Formed,"September 3, 2010"
3,Remnant low,"September 9, 2010"
4,Dissipated,"September 10, 2010"
5,Tropical storm,Tropical storm
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,70 mph (110 km/h)
8,Lowest pressure,989 mbar (hPa); 29.21 inHg
9,Overall effects,Overall effects
10,Fatalities,"52 direct, 50 indirect, 100 presumed dead"
11,Damage,$740 million (2010 USD)
12,Areas affected,Central America Mexico Texas Oklahoma Kansas
13,IBTrACS,IBTrACS
14,Part of the 2010 Atlantic and Pacific hurricane seasons,Part of the 2010 Atlantic and Pacific hurricane seasons
