,sentences
0,Tropical Storm Josephine was an unusual tropical cyclone that moved from west to east across the Gulf of Mexico in October 1996.
1,It formed on October 4 as a tropical depression from the remnants of a cold front.
2,"Early in its duration, the system interacted with a ridge over the central United States, which produced strong winds and high tides along the Texas coast."
3,"The outer rainbands caused flooding rainfall in southern Texas, and in Louisiana, high tides flooded roads and stranded residents on Grand Isle."
4,"Moving generally to the east due to a trough, the depression intensified into a tropical storm on October 6, and the next day reached peak winds of 70 mph(110 km/h) while approaching the west coast of Florida."
5,"Josephine made landfall in Taylor County near peak intensity early on October 8, and soon after became extratropical."
6,"While moving ashore, the storm produced a high storm surge reaching 9.3 ft(2.8 m) in Suwannee."
7,"High tides flooded about 3,600 houses along the west coast."
8,"Josephine also produced heavy rainfall, which flooded hundreds of homes, and high winds, which left 400,000 people without power."
9,"The storm also spawned at least 16 tornadoes, one of which damaged 130 homes."
10,"The extratropical remnants of Josephine moved along the eastern coast of the United States, producing wind gusts as strong as 77 mph(124 km/h) in St. Mary's County and in Ocean City, Maryland."
11,"The winds caused widespread power outages, including 26,000 in Virginia and 31,000 in New Jersey."
12,"Heavy rainfall flooded low-lying areas and rivers along the storm's path, including in North Carolina which had previously been affected by hurricanes Bertha and Fran earlier in the year."
13,"In the southeastern United States, the storm contributed to dozens of traffic accidents, which killed a person each in Georgia, North Carolina, and Virginia."
14,Damage throughout the United States totaled about $130 million(1996 USD).
15,"Josephine later moved offshore, and after passing southeast of Cape Cod, moved through Atlantic Canada with moderate rainfall and gusty winds."
16,The storm later restrengthened in the northern Atlantic Ocean before merging with another extratropical storm near Iceland on October 16.
17,"-Meteorological history-
In late September 1996, a cold front stalled over the southwestern Gulf of Mexico, producing an area of convection."
18,The thunderstorms were possibly related to the same tropical wave that spawned Hurricane Hernan in the eastern Pacific Ocean.
19,"A low pressure area formed in the Bay of Campeche by October 2, although initially upper-level conditions did not favor tropical cyclogenesis."
20,The convection became more persistent on October 3 and gradually became better organized.
21,"On October 4, classifications based on the Dvorak technique began, and later that day the Hurricane Hunters flew into the system."
22,"Based on the data from the flight, it is estimated that Tropical Depression Ten formed at 1800 UTC that day off the northeast coast of Mexico."
23,"During its formative stages, the depression interacted with a ridge near the Great Lakes to produce strong winds across the Gulf Coast of the United States."
24,"With weak steering currents, the depression moved slowly to the northeast, and initially, wind shear prevented further organization."
25,"On October 6, a strong trough caused the system to accelerate to the east-northeast."
26,The storm's west to east motion across the Gulf of Mexico was unusual although not unprecedented.
27,"On October 6, the banding features became better defined, and the depression intensified into Tropical Storm Josephine."
28,"Further intensification followed, and Josephine attained peak winds of about 70 mph(110 km/h) on October 7."
29,"This was based on flight-level winds of 85 mph(137 km/h), and while near peak intensity, the storm developed a partial eyewall."
