index,0,1
0,Kelly near peak intensity on July 3,Kelly near peak intensity on July 3
1,Meteorological history,Meteorological history
2,Formed,"June 27, 1981"
3,Dissipated,"July 6, 1981"
4,Severe tropical storm,Severe tropical storm
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,110 km/h (70 mph)
7,Lowest pressure,975 hPa (mbar); 28.79 inHg
8,Category 1-equivalent typhoon,Category 1-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,140 km/h (85 mph)
11,Overall effects,Overall effects
12,Fatalities,192 total
13,Damage,$7.8 million (1981 USD)
14,Areas affected,"Philippines, China"
15,IBTrACS,IBTrACS
16,Part of the 1981 Pacific typhoon season,Part of the 1981 Pacific typhoon season
