,sentences
0,"Tropical Storm Kiko was a strong tropical storm that capsized a boat off the western coast of Mexico, killing at least 15 people."
1,"The 15th and final tropical cyclone of the 2007 Pacific hurricane season, Kiko developed out of a tropical wave that formed off the coast of Africa on September 26 and traversed the Atlantic."
2,"The wave crossed over Central America and entered the Pacific Ocean on October 8, where it spawned Tropical Depression 15-E on October 15."
3,The depression drifted to the south over the next day before briefly being declared Tropical Storm Kiko.
4,"It subsequently weakened into a tropical depression, but later reattained tropical storm intensity."
5,"By October 18, Kiko was forecast to make landfall along the western Mexican coastline as a moderate tropical storm."
6,"However, the cyclone turned to the west and reached its peak intensity of 70 mph(110 km/h) on October 20."
7,The tropical storm slowly weakened to a remnant low-pressure area by October 24 and completely dissipated on October 27 without making landfall.
8,"-Meteorological history-
A tropical wave exited the western coast of Africa on September 26, quickly spawning an area of low pressure."
9,"Upon the formation of the low, the wave split into two pieces and a second area of low pressure developed along the southern portion of the wave as it traveled west."
10,"The northern low quickly developed, spawning Tropical Depression Fourteen on September 28."
11,The southern low attached to the wave failed to develop and moved away from the intensifying tropical depression.
12,"It continued through the Atlantic, entering the Pacific Ocean, after crossing Central America, on October 8."
13,"A broad area of low pressure accompanied by showers and thunderstorms developed along the wave around 275 miles(443 kilometres) south of Acapulco, Mexico."
14,"However, the low remained disorganized because of strong upper-level winds."
15,"On October 13, the low became better organized due to a relaxation in the shear."
16,"The low developed enough convection late on October 14 to be declared Tropical Depression Fifteen-E while located about 435 mi(700 km) southwest of Colima, Mexico."
17,"The depression was embedded within a broad, low-level cyclone with weak steering currents that caused Fifteen-E to drift southward for the next 30 hours."
18,"On October 16, strong easterly wind shear exposed the center of the depression from shower and thunderstorm activity."
19,"However, a curving convective band developed around the system, and satellites detected winds of 40 mph(64 km/h)."
20,"This prompted the National Hurricane Center to upgrade the depression to Tropical Storm Kiko as it drifted about 430 mi(690 km) southwest of Manzanillo, Mexico."
21,"The intensification was short-lived, and Kiko was downgraded to a tropical depression six hours later when the center separated from diminishing convection."
22,"On October 17, the storm was upgraded to a tropical storm when the low became associated with deep convection."
23,"The center remained poorly defined, and winds of tropical storm-force blew only in Kiko's southwest quadrant."
24,"Over the next few days, Kiko moved slowly towards the east-northeast as a minimal tropical storm and was forecast to either brush land or to make landfall along the Mexican coast on October 19 or October 20."
25,"However, early on October 19, Kiko turned to the northwest when a high-pressure ridge developed over Mexico."
26,Forecasters predicted that the storm would become a strong Category 1 hurricane as it turned away from Mexico and headed to sea.
27,"As the ridge pushed the storm away from the coast, weaker wind shear and warm sea-surface temperatures allowed Kiko to gradually intensify."
28,"The storm reached its peak intensity of 70 mph(110 km/h) 991 mbar(hPa; 29.28 inHg) late on October 20 while located around 175 mi(282 km) west-southwest of Manzanillo, Mexico."
29,"As it moved away from the coast, an eye began to form."
30,"Shortly thereafter, shear increased and began to separate the low from the deep convection."
31,"By the afternoon of October 21, the storm was poorly organized and the center was partially exposed."
32,"At this time, the weakening system had winds sustained at 50 mph(80 km/h)."
33,"Early on October 22, a brief burst in showers and thunderstorms allowed the storm to maintain its intensity."
34,"That evening, Kiko was downgraded to a tropical depression as strong wind shear removed convection from the storm's center and exposed the low."
35,"As the depression moved over a dryer and more hostile area, two inhibiting factors for development of tropical cyclones, it slowly weakened."
36,"It lost almost all convection and degenerated to a remnant low-pressure area on October 23, and the National Hurricane Center issued its final advisory that night."
37,The remnant low moved west before dissipating on October 27 over open waters.
38,"-Preparations and impact-
On October 18, a tropical storm warning was issued along the Mexican coastline from Zihuatanejo, Guerrero to Manzanillo, Colima, and a tropical storm watch extended northward to La Fortuna, Mexico, as Kiko was forecast to make landfall in that region on October 21."
39,Above-normal tides and dangerous waves were expected along the coast.
40,Rainfall totals of 4 to 7 in(100 to 180 mm) were possible over southwestern Mexico with isolated totals reaching 10 in(250 mm).
41,"As a precaution, port captains shut down shipping and advised residents to avoid low-lying areas that might flood."
42,Civil Defense advised these residents to move to temporary shelters and tourists were told to stay indoors.
43,Emergency procedures were on standby in case conditions became more threatening.
44,"As the storm neared land, a ridge over Mexico prevented Kiko from coming ashore, resulting in far less damage than forecast."
45,"As Kiko traveled parallel to the coast, heavy rain affected the region for two days."
46,"In Kiko's rough seas off the coast of Mexico, a ship capsized with twenty-five passengers and crew."
47,"Continued effects from Kiko hampered rescue efforts, forcing officials to call off the rescue attempt."
48,Authorities searched the beaches of San Francisco Ixhuatán and San Francisco del Mar for any signs of the ship.
49,"Only two people survived; fifteen bodies were recovered, and nine passengers were never found."
50,Kiko's remnants caused intense flash flooding in California.
51,Damage from this totaled to USD$1.08 million(2007 USD).
