index,0,1
0,Tropical Storm Kirk at peak intensity on September 26,Tropical Storm Kirk at peak intensity on September 26
1,Meteorological history,Meteorological history
2,Formed,"September 22, 2018"
3,Dissipated,"September 28, 2018"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,65 mph (100 km/h)
7,Lowest pressure,998 mbar (hPa); 29.47 inHg
8,Overall effects,Overall effects
9,Fatalities,2 total (presumed)
10,Damage,≥$6.24 million (2018 USD)
11,Areas affected,"Barbados, Windward Islands, Guadeloupe"
12,IBTrACS,IBTrACS
13,Part of the 2018 Atlantic hurricane season,Part of the 2018 Atlantic hurricane season
